#NTIMES: 191
#time[d] Lbol[erg/s] Edep[erg/s]
2.0186e+00 1.9294e+41 3.2385e+43
2.0562e+00 1.6742e+41 3.2285e+43
2.0945e+00 1.3344e+41 3.2177e+43
2.1335e+00 9.5775e+40 3.2068e+43
2.1732e+00 6.0250e+40 3.1957e+43
2.2136e+00 4.3033e+40 3.1844e+43
2.2548e+00 4.0447e+40 3.1730e+43
2.2968e+00 4.1294e+40 3.1614e+43
2.3396e+00 4.2932e+40 3.1496e+43
2.3831e+00 4.5877e+40 3.1377e+43
2.4275e+00 4.8961e+40 3.1257e+43
2.4727e+00 5.6329e+40 3.1134e+43
2.5187e+00 6.9506e+40 3.1010e+43
2.5656e+00 7.4905e+40 3.0885e+43
2.6134e+00 9.0555e+40 3.0757e+43
2.6620e+00 1.0187e+41 3.0628e+43
2.7116e+00 1.1665e+41 3.0498e+43
2.7620e+00 1.3531e+41 3.0365e+43
2.8134e+00 1.5590e+41 3.0231e+43
2.8658e+00 1.7027e+41 3.0095e+43
2.9192e+00 1.8570e+41 2.9958e+43
2.9735e+00 2.1322e+41 2.9819e+43
3.0289e+00 2.3535e+41 2.9678e+43
3.0853e+00 2.5969e+41 2.9535e+43
3.1427e+00 2.8334e+41 2.9390e+43
3.2012e+00 3.0587e+41 2.9244e+43
3.2608e+00 3.3294e+41 2.9096e+43
3.3215e+00 3.6111e+41 2.8947e+43
3.3833e+00 3.9193e+41 2.8795e+43
3.4463e+00 4.2476e+41 2.8642e+43
3.5104e+00 4.5600e+41 2.8487e+43
3.5758e+00 4.8566e+41 2.8330e+43
3.6424e+00 5.1799e+41 2.8172e+43
3.7102e+00 5.7017e+41 2.8011e+43
3.7792e+00 6.0820e+41 2.7849e+43
3.8496e+00 6.4529e+41 2.7686e+43
3.9212e+00 6.8417e+41 2.7520e+43
3.9942e+00 7.3092e+41 2.7353e+43
4.0686e+00 7.6767e+41 2.7184e+43
4.1443e+00 8.2579e+41 2.7013e+43
4.2215e+00 8.7416e+41 2.6840e+43
4.3001e+00 9.2934e+41 2.6666e+43
4.3801e+00 9.9279e+41 2.6490e+43
4.4617e+00 1.0533e+42 2.6312e+43
4.5447e+00 1.1062e+42 2.6133e+43
4.6293e+00 1.1867e+42 2.5952e+43
4.7155e+00 1.2468e+42 2.5769e+43
4.8033e+00 1.3271e+42 2.5585e+43
4.8927e+00 1.4168e+42 2.5399e+43
4.9838e+00 1.4931e+42 2.5211e+43
5.0765e+00 1.5713e+42 2.5022e+43
5.1711e+00 1.6764e+42 2.4831e+43
5.2673e+00 1.7664e+42 2.4638e+43
5.3654e+00 1.8637e+42 2.4444e+43
5.4652e+00 1.9604e+42 2.4249e+43
5.5670e+00 2.0922e+42 2.4052e+43
5.6706e+00 2.2022e+42 2.3853e+43
5.7762e+00 2.3370e+42 2.3653e+43
5.8837e+00 2.4614e+42 2.3451e+43
5.9932e+00 2.5811e+42 2.3248e+43
6.1048e+00 2.7033e+42 2.3043e+43
6.2184e+00 2.8535e+42 2.2837e+43
6.3342e+00 2.9939e+42 2.2630e+43
6.4521e+00 3.1454e+42 2.2421e+43
6.5722e+00 3.3037e+42 2.2211e+43
6.6946e+00 3.4646e+42 2.2000e+43
6.8192e+00 3.6422e+42 2.1787e+43
6.9461e+00 3.8089e+42 2.1573e+43
7.0754e+00 3.9786e+42 2.1358e+43
7.2072e+00 4.1494e+42 2.1141e+43
7.3413e+00 4.3130e+42 2.0924e+43
7.4780e+00 4.5042e+42 2.0705e+43
7.6172e+00 4.7026e+42 2.0485e+43
7.7590e+00 4.8982e+42 2.0264e+43
7.9034e+00 5.0934e+42 2.0042e+43
8.0506e+00 5.2995e+42 1.9819e+43
8.2004e+00 5.4859e+42 1.9595e+43
8.3531e+00 5.6985e+42 1.9370e+43
8.5086e+00 5.9070e+42 1.9144e+43
8.6670e+00 6.1049e+42 1.8917e+43
8.8283e+00 6.3096e+42 1.8690e+43
8.9927e+00 6.5150e+42 1.8462e+43
9.1601e+00 6.7336e+42 1.8233e+43
9.3306e+00 6.9602e+42 1.8003e+43
9.5043e+00 7.1655e+42 1.7773e+43
9.6812e+00 7.3917e+42 1.7541e+43
9.8614e+00 7.5983e+42 1.7310e+43
1.0045e+01 7.8109e+42 1.7078e+43
1.0232e+01 7.9971e+42 1.6846e+43
1.0422e+01 8.2313e+42 1.6613e+43
1.0616e+01 8.4285e+42 1.6380e+43
1.0814e+01 8.6490e+42 1.6147e+43
1.1015e+01 8.8544e+42 1.5913e+43
1.1220e+01 9.0530e+42 1.5680e+43
1.1429e+01 9.2419e+42 1.5446e+43
1.1642e+01 9.4472e+42 1.5213e+43
1.1859e+01 9.6415e+42 1.4980e+43
1.2080e+01 9.8166e+42 1.4747e+43
1.2304e+01 9.9683e+42 1.4514e+43
1.2534e+01 1.0158e+43 1.4282e+43
1.2767e+01 1.0319e+43 1.4049e+43
1.3005e+01 1.0465e+43 1.3818e+43
1.3247e+01 1.0611e+43 1.3588e+43
1.3493e+01 1.0745e+43 1.3357e+43
1.3744e+01 1.0878e+43 1.3127e+43
1.4000e+01 1.1001e+43 1.2900e+43
1.4261e+01 1.1113e+43 1.2672e+43
1.4526e+01 1.1204e+43 1.2446e+43
1.4797e+01 1.1302e+43 1.2221e+43
1.5072e+01 1.1383e+43 1.1996e+43
1.5353e+01 1.1450e+43 1.1773e+43
1.5639e+01 1.1513e+43 1.1553e+43
1.5930e+01 1.1569e+43 1.1333e+43
1.6226e+01 1.1605e+43 1.1115e+43
1.6528e+01 1.1647e+43 1.0899e+43
1.6836e+01 1.1641e+43 1.0685e+43
1.7149e+01 1.1650e+43 1.0472e+43
1.7469e+01 1.1641e+43 1.0262e+43
1.7794e+01 1.1616e+43 1.0052e+43
1.8125e+01 1.1590e+43 9.8458e+42
1.8462e+01 1.1538e+43 9.6410e+42
1.8806e+01 1.1476e+43 9.4383e+42
1.9156e+01 1.1391e+43 9.2385e+42
1.9513e+01 1.1292e+43 9.0400e+42
1.9876e+01 1.1204e+43 8.8453e+42
2.0246e+01 1.1098e+43 8.6521e+42
2.0623e+01 1.0977e+43 8.4615e+42
2.1007e+01 1.0845e+43 8.2748e+42
2.1398e+01 1.0676e+43 8.0890e+42
2.1796e+01 1.0496e+43 7.9074e+42
2.2202e+01 1.0286e+43 7.7280e+42
2.2615e+01 1.0072e+43 7.5512e+42
2.3036e+01 9.8224e+42 7.3760e+42
2.3465e+01 9.5738e+42 7.2034e+42
