#NTIMES: 111
#NBANDS:   8
#OPTSET: Bessell
#NIRSET: 2MASS
#time[d] U B V R I J H K
2.04000e+00  99.999  -6.780  -8.700 -10.381 -11.400 -10.955  -3.894 -12.255
2.11000e+00  99.999  -8.316  99.999  -8.893 -10.845 -11.652 -13.211 -14.000
2.19000e+00  99.999  -7.313 -11.340 -11.437 -12.370 -13.778 -14.543 -13.703
2.28000e+00  99.999  -9.640 -11.498 -12.158 -12.690 -14.159 -15.248 -12.864
2.36000e+00  -1.104 -10.226 -11.389 -13.006 -13.490 -14.610 -15.218 -14.667
2.45000e+00  -8.997 -11.633 -12.342 -13.455 -13.941 -14.563 -14.786 -14.618
2.54000e+00 -10.156 -12.353 -13.301 -14.112 -14.236 -15.078 -15.256 -15.632
2.64000e+00 -11.394 -13.430 -14.009 -14.598 -14.437 -15.582 -15.636 -15.812
2.74000e+00 -11.549 -13.523 -14.236 -14.811 -14.918 -15.421 -16.014 -15.931
2.84000e+00 -12.758 -14.182 -14.703 -15.236 -15.248 -15.636 -16.082 -16.307
2.95000e+00 -13.655 -14.782 -15.215 -15.610 -15.260 -16.048 -16.018 -16.217
3.06000e+00 -14.034 -15.254 -15.486 -15.773 -15.572 -16.192 -16.464 -16.068
3.17000e+00 -14.416 -15.478 -15.712 -15.940 -15.832 -16.187 -16.147 -16.151
3.29000e+00 -14.814 -15.656 -15.792 -16.089 -15.876 -16.361 -16.492 -15.920
3.41000e+00 -15.054 -15.804 -15.839 -16.134 -16.059 -16.694 -16.430 -16.929
3.54000e+00 -15.306 -15.899 -15.986 -16.332 -16.328 -16.724 -16.278 -16.416
3.68000e+00 -15.441 -15.943 -16.055 -16.366 -16.422 -16.927 -16.510 -16.507
3.81000e+00 -15.705 -16.146 -16.183 -16.465 -16.534 -16.973 -16.764 -16.525
3.96000e+00 -15.796 -16.147 -16.235 -16.593 -16.641 -17.051 -16.812 -16.573
4.11000e+00 -15.892 -16.295 -16.388 -16.715 -16.805 -17.103 -16.894 -16.734
4.26000e+00 -16.086 -16.289 -16.422 -16.782 -16.905 -17.213 -16.859 -16.847
4.42000e+00 -16.208 -16.455 -16.512 -16.860 -16.945 -17.207 -16.929 -16.713
4.59000e+00 -16.254 -16.500 -16.646 -16.955 -17.026 -17.259 -17.105 -17.019
4.76000e+00 -16.390 -16.602 -16.692 -17.056 -17.148 -17.349 -17.132 -17.092
4.94000e+00 -16.565 -16.645 -16.773 -17.103 -17.152 -17.402 -17.005 -17.138
5.12000e+00 -16.573 -16.760 -16.770 -17.177 -17.282 -17.424 -17.138 -17.184
5.32000e+00 -16.688 -16.851 -16.924 -17.280 -17.381 -17.470 -17.212 -17.195
5.52000e+00 -16.788 -16.920 -16.999 -17.343 -17.417 -17.518 -17.300 -17.127
5.72000e+00 -16.883 -16.966 -17.055 -17.439 -17.531 -17.590 -17.328 -17.229
5.94000e+00 -17.130 -17.070 -17.146 -17.497 -17.592 -17.677 -17.378 -17.547
6.16000e+00 -17.209 -17.170 -17.211 -17.572 -17.700 -17.686 -17.514 -17.466
6.39000e+00 -17.353 -17.244 -17.314 -17.671 -17.783 -17.733 -17.470 -17.608
6.63000e+00 -17.539 -17.321 -17.368 -17.740 -17.884 -17.842 -17.614 -17.442
6.88000e+00 -17.587 -17.387 -17.468 -17.825 -17.970 -17.829 -17.720 -17.679
7.14000e+00 -17.705 -17.481 -17.542 -17.908 -17.963 -17.874 -17.815 -17.642
7.41000e+00 -17.769 -17.582 -17.642 -17.975 -18.052 -17.905 -17.815 -17.805
7.69000e+00 -17.839 -17.618 -17.695 -18.048 -18.122 -17.988 -17.886 -17.633
7.98000e+00 -17.946 -17.699 -17.775 -18.145 -18.308 -18.015 -17.955 -17.859
8.28000e+00 -17.974 -17.787 -17.837 -18.203 -18.374 -18.054 -17.920 -17.817
8.59000e+00 -18.110 -17.856 -17.929 -18.277 -18.398 -18.128 -18.010 -17.921
8.91000e+00 -18.208 -17.928 -17.988 -18.353 -18.447 -18.123 -18.009 -17.976
9.25000e+00 -18.246 -17.994 -18.073 -18.401 -18.437 -18.201 -18.044 -18.036
9.59000e+00 -18.237 -18.057 -18.131 -18.466 -18.512 -18.220 -18.091 -18.049
9.95000e+00 -18.329 -18.154 -18.194 -18.527 -18.586 -18.274 -18.071 -18.066
1.03300e+01 -18.402 -18.204 -18.283 -18.589 -18.627 -18.228 -18.086 -18.064
1.07100e+01 -18.448 -18.282 -18.364 -18.645 -18.680 -18.265 -18.122 -18.042
1.11200e+01 -18.458 -18.355 -18.409 -18.687 -18.736 -18.283 -18.100 -18.074
1.15400e+01 -18.493 -18.424 -18.482 -18.751 -18.757 -18.271 -18.099 -18.112
1.19700e+01 -18.540 -18.472 -18.565 -18.797 -18.782 -18.299 -18.089 -18.081
1.24200e+01 -18.533 -18.542 -18.614 -18.838 -18.852 -18.238 -18.052 -18.086
1.28800e+01 -18.573 -18.594 -18.673 -18.877 -18.868 -18.205 -18.031 -18.068
1.33700e+01 -18.604 -18.660 -18.745 -18.932 -18.912 -18.217 -17.982 -18.070
1.38700e+01 -18.580 -18.713 -18.786 -18.950 -18.914 -18.150 -17.982 -17.865
1.43900e+01 -18.620 -18.773 -18.852 -18.996 -18.950 -18.038 -17.928 -17.927
1.49300e+01 -18.644 -18.839 -18.904 -19.032 -18.977 -18.001 -17.874 -17.789
1.54900e+01 -18.648 -18.882 -18.947 -19.055 -18.978 -17.988 -17.795 -17.755
1.60800e+01 -18.628 -18.928 -19.005 -19.089 -18.990 -17.917 -17.744 -17.827
1.66800e+01 -18.634 -18.971 -19.044 -19.104 -19.019 -17.820 -17.743 -17.688
1.73100e+01 -18.640 -19.008 -19.097 -19.131 -19.026 -17.739 -17.728 -17.550
1.79600e+01 -18.618 -19.036 -19.123 -19.140 -19.050 -17.630 -17.657 -17.534
1.86300e+01 -18.535 -19.049 -19.151 -19.149 -19.067 -17.548 -17.572 -17.564
1.93300e+01 -18.473 -19.063 -19.188 -19.153 -19.063 -17.460 -17.634 -17.383
2.00600e+01 -18.393 -19.068 -19.208 -19.153 -19.081 -17.392 -17.691 -17.523
2.08100e+01 -18.326 -19.047 -19.239 -19.148 -19.088 -17.283 -17.715 -17.519
2.15900e+01 -18.250 -19.016 -19.251 -19.131 -19.135 -17.185 -17.800 -17.526
2.24100e+01 -18.235 -18.968 -19.259 -19.106 -19.158 -17.120 -17.977 -17.652
2.32500e+01 -18.132 -18.921 -19.271 -19.078 -19.123 -17.113 -18.031 -17.692
2.41200e+01 -17.948 -18.830 -19.243 -19.026 -19.091 -17.055 -18.162 -17.803
2.50300e+01 -17.753 -18.746 -19.216 -18.982 -19.090 -17.061 -18.360 -17.985
2.59700e+01 -17.560 -18.632 -19.160 -18.934 -19.130 -17.080 -18.506 -18.203
2.69400e+01 -17.443 -18.502 -19.079 -18.876 -19.154 -17.056 -18.683 -18.353
2.79600e+01 -17.296 -18.376 -18.978 -18.831 -19.179 -17.047 -18.814 -18.495
2.90100e+01 -17.148 -18.231 -18.871 -18.795 -19.237 -17.105 -18.948 -18.619
3.01000e+01 -17.005 -18.084 -18.765 -18.734 -19.175 -17.165 -19.035 -18.745
3.12300e+01 -16.819 -17.928 -18.634 -18.667 -19.099 -17.365 -19.145 -18.859
3.24000e+01 -16.603 -17.766 -18.524 -18.623 -19.079 -17.554 -19.197 -19.012
