#NTIMES: 250
#NBANDS:   8
#OPTSET: Bessell
#NIRSET: 2MASS
#time[d] U B V R I J H K
5.00000e-01  99.999  99.999  99.999  99.999  99.999  99.999  99.999  99.999
1.50000e+00  99.999  99.999  99.999  99.999  99.999  99.999  99.999  99.999
2.50000e+00  99.999  99.999  99.999  99.999  99.999  99.999  99.999  99.999
3.50000e+00  99.999  99.999  99.999  99.999  99.999  99.999  99.999  99.999
4.50000e+00  99.999  99.999  99.999  99.999  99.999  99.999  99.999  99.999
5.50000e+00  99.999  99.999  99.999  99.999  99.999  99.999  99.999  99.999
6.50000e+00 -11.996 -11.866 -12.659 -13.178 -13.490 -14.268 -14.459 -14.289
7.50000e+00 -14.612 -14.933 -15.282 -15.487 -15.502 -16.065 -16.101 -16.294
8.50000e+00 -16.893 -16.605 -16.661 -16.828 -17.061 -16.761 -16.644 -16.434
9.50000e+00 -17.891 -17.418 -17.427 -17.523 -17.686 -16.920 -16.867 -16.574
1.05000e+01 -18.442 -17.868 -17.848 -17.844 -17.866 -17.160 -16.936 -16.847
1.15000e+01 -18.755 -18.125 -18.119 -18.040 -18.025 -17.327 -16.909 -16.966
1.25000e+01 -19.015 -18.320 -18.295 -18.181 -18.178 -17.460 -16.958 -16.999
1.35000e+01 -19.194 -18.472 -18.418 -18.278 -18.275 -17.484 -16.847 -17.024
1.45000e+01 -19.330 -18.601 -18.507 -18.354 -18.340 -17.478 -16.789 -17.025
1.55000e+01 -19.443 -18.717 -18.595 -18.420 -18.402 -17.456 -16.732 -16.840
1.65000e+01 -19.528 -18.826 -18.662 -18.464 -18.460 -17.408 -16.674 -16.675
1.75000e+01 -19.576 -18.913 -18.730 -18.500 -18.515 -17.356 -16.628 -16.707
1.85000e+01 -19.611 -18.985 -18.808 -18.521 -18.551 -17.280 -16.467 -16.580
1.95000e+01 -19.620 -19.055 -18.877 -18.545 -18.593 -17.219 -16.452 -16.472
2.05000e+01 -19.612 -19.098 -18.944 -18.563 -18.640 -17.085 -16.331 -16.209
2.15000e+01 -19.594 -19.132 -19.003 -18.588 -18.708 -16.967 -16.243 -16.000
2.25000e+01 -19.549 -19.157 -19.051 -18.620 -18.759 -16.805 -16.207 -15.875
2.35000e+01 -19.475 -19.156 -19.085 -18.638 -18.816 -16.671 -16.064 -15.583
2.45000e+01 -19.360 -19.147 -19.112 -18.679 -18.862 -16.498 -16.085 -15.320
2.55000e+01 -19.222 -19.137 -19.138 -18.698 -18.910 -16.341 -16.078 -15.342
2.65000e+01 -19.074 -19.120 -19.146 -18.713 -18.961 -16.242 -16.130 -15.255
2.75000e+01 -18.947 -19.094 -19.150 -18.714 -18.986 -16.125 -16.214 -15.321
