#NTIMES: 250
#NBANDS:   8
#OPTSET: Bessell
#NIRSET: 2MASS
#time[d] U B V R I J H K
5.00000e-01  99.999  99.999  99.999  99.999  99.999  99.999  99.999  99.999
1.50000e+00  99.999  99.999  99.999  99.999  99.999  99.999  99.999  99.999
2.50000e+00  99.999  99.999  99.999  99.999  99.999  99.999  99.999  99.999
3.50000e+00  99.999  99.999  99.999  99.999  99.999  99.999  99.999  99.999
4.50000e+00  99.999  99.999  99.999  99.999  99.999  99.999  99.999  99.999
5.50000e+00  99.999  99.999  99.999  99.999  99.999  99.999  99.999  99.999
6.50000e+00 -11.996 -11.597 -12.948 -13.561 -13.793 -13.637 -14.298 -15.202
7.50000e+00 -10.026 -12.350 -12.631 -13.286 -13.985 -14.690 -15.110 -16.005
8.50000e+00 -12.555 -14.321 -14.471 -15.080 -15.334 -16.323 -16.376 -17.118
9.50000e+00 -14.917 -15.858 -16.172 -16.403 -16.380 -16.990 -16.850 -17.673
1.05000e+01 -16.106 -16.671 -16.813 -17.013 -17.243 -17.507 -17.098 -17.430
1.15000e+01 -16.907 -17.185 -17.308 -17.556 -17.760 -17.769 -17.473 -17.472
1.25000e+01 -17.548 -17.614 -17.702 -17.903 -18.093 -17.814 -17.645 -17.576
1.35000e+01 -17.873 -17.932 -17.982 -18.182 -18.350 -17.856 -17.782 -17.371
1.45000e+01 -18.164 -18.191 -18.219 -18.377 -18.545 -17.870 -17.613 -17.708
1.55000e+01 -18.384 -18.413 -18.427 -18.556 -18.775 -17.862 -17.765 -17.449
1.65000e+01 -18.555 -18.595 -18.592 -18.680 -18.913 -17.799 -17.563 -17.317
1.75000e+01 -18.680 -18.746 -18.724 -18.781 -19.030 -17.740 -17.492 -17.193
1.85000e+01 -18.768 -18.871 -18.865 -18.883 -19.100 -17.771 -17.518 -17.138
1.95000e+01 -18.836 -18.962 -18.963 -18.936 -19.201 -17.718 -17.316 -17.204
2.05000e+01 -18.910 -19.049 -19.058 -18.981 -19.263 -17.617 -17.311 -17.249
2.15000e+01 -18.909 -19.106 -19.104 -19.024 -19.315 -17.556 -17.292 -17.346
2.25000e+01 -18.888 -19.161 -19.174 -19.050 -19.342 -17.488 -17.238 -17.156
2.35000e+01 -18.865 -19.177 -19.208 -19.051 -19.353 -17.408 -16.977 -17.184
2.45000e+01 -18.786 -19.204 -19.250 -19.069 -19.354 -17.364 -17.266 -17.063
2.55000e+01 -18.708 -19.206 -19.283 -19.069 -19.319 -17.313 -17.060 -17.139
2.65000e+01 -18.635 -19.205 -19.288 -19.053 -19.301 -17.234 -17.038 -17.182
2.75000e+01 -18.557 -19.197 -19.304 -19.055 -19.246 -17.106 -17.119 -17.073
