#NTIMES: 191
#NBANDS:   8
#OPTSET: Bessell
#NIRSET: 2MASS
#time[d] U B V R I J H K
2.01862e+00 -12.749 -13.491 -14.335 -14.810 -15.004 -15.862 -16.112 -16.276
2.05619e+00 -12.348 -13.278 -14.176 -14.648 -14.820 -15.726 -16.014 -16.164
2.09447e+00 -11.852 -12.939 -13.868 -14.373 -14.590 -15.519 -15.841 -15.994
2.13346e+00 -11.469 -12.446 -13.400 -13.976 -14.313 -15.198 -15.527 -15.664
2.17318e+00 -10.958 -11.839 -12.578 -13.335 -14.010 -14.776 -15.064 -15.221
2.21363e+00 -10.536 -11.344 -11.860 -12.760 -13.773 -14.505 -14.691 -14.954
2.25484e+00  -9.997 -11.271 -11.570 -12.666 -13.694 -14.408 -14.622 -14.918
2.29681e+00  -9.813 -11.021 -11.471 -12.696 -13.607 -14.513 -14.662 -14.970
2.33957e+00  -9.830 -11.295 -11.469 -12.761 -13.662 -14.477 -14.769 -14.775
2.38312e+00  -9.933 -11.488 -11.518 -12.911 -13.579 -14.566 -14.865 -15.106
2.42749e+00 -10.306 -11.820 -11.837 -12.959 -13.471 -14.740 -14.735 -15.079
2.47267e+00 -10.641 -12.044 -12.042 -13.214 -13.613 -14.799 -15.033 -15.207
2.51870e+00 -11.360 -12.381 -12.605 -13.514 -13.854 -14.856 -15.115 -15.219
2.56559e+00 -11.554 -12.550 -12.661 -13.630 -13.878 -14.830 -15.045 -15.586
2.61335e+00 -11.678 -12.850 -13.098 -13.820 -14.126 -15.010 -15.362 -15.815
2.66200e+00 -11.766 -13.139 -13.278 -14.063 -14.045 -15.078 -15.434 -15.653
2.71155e+00 -11.835 -13.277 -13.536 -14.283 -14.231 -15.298 -15.431 -15.583
2.76203e+00 -11.924 -13.399 -13.908 -14.462 -14.473 -15.457 -15.647 -15.677
2.81345e+00 -12.258 -13.666 -14.132 -14.565 -14.657 -15.476 -15.767 -15.894
2.86582e+00 -12.425 -13.835 -14.274 -14.689 -14.618 -15.567 -15.681 -15.973
2.91917e+00 -12.501 -13.979 -14.468 -14.697 -14.760 -15.706 -15.849 -15.915
2.97351e+00 -12.792 -14.080 -14.628 -14.939 -14.887 -15.773 -15.854 -16.082
3.02887e+00 -12.796 -14.292 -14.810 -15.044 -14.991 -15.840 -15.865 -15.983
3.08525e+00 -12.899 -14.405 -14.927 -15.189 -15.059 -15.903 -16.057 -16.038
3.14268e+00 -13.043 -14.569 -15.011 -15.249 -15.178 -16.022 -15.995 -16.022
3.20119e+00 -13.211 -14.638 -15.087 -15.307 -15.325 -16.030 -16.202 -16.105
3.26078e+00 -13.418 -14.779 -15.230 -15.412 -15.371 -16.075 -16.198 -16.395
3.32148e+00 -13.678 -14.902 -15.331 -15.474 -15.430 -16.188 -16.236 -16.224
3.38331e+00 -13.867 -14.990 -15.394 -15.593 -15.560 -16.212 -16.346 -16.217
3.44629e+00 -14.056 -15.102 -15.509 -15.683 -15.661 -16.186 -16.322 -16.356
3.51045e+00 -14.233 -15.229 -15.501 -15.711 -15.769 -16.299 -16.371 -16.564
3.57580e+00 -14.291 -15.329 -15.586 -15.733 -15.812 -16.421 -16.413 -16.510
3.64236e+00 -14.527 -15.386 -15.622 -15.841 -15.889 -16.520 -16.359 -16.522
3.71017e+00 -14.668 -15.499 -15.733 -15.928 -16.048 -16.521 -16.582 -16.592
3.77923e+00 -14.824 -15.589 -15.796 -15.994 -16.141 -16.544 -16.591 -16.620
3.84959e+00 -14.914 -15.659 -15.855 -16.042 -16.139 -16.656 -16.489 -16.745
3.92125e+00 -14.998 -15.726 -15.925 -16.100 -16.224 -16.715 -16.663 -16.617
3.99425e+00 -15.179 -15.779 -16.001 -16.170 -16.308 -16.786 -16.732 -16.780
4.06860e+00 -15.252 -15.849 -16.023 -16.241 -16.359 -16.810 -16.720 -16.878
4.14434e+00 -15.337 -15.940 -16.108 -16.301 -16.481 -16.878 -16.750 -16.918
4.22149e+00 -15.435 -15.982 -16.164 -16.359 -16.544 -16.931 -16.758 -16.908
4.30007e+00 -15.534 -16.033 -16.215 -16.447 -16.614 -16.938 -16.838 -17.057
4.38012e+00 -15.599 -16.123 -16.286 -16.522 -16.712 -16.997 -16.896 -17.008
4.46166e+00 -15.712 -16.181 -16.341 -16.571 -16.774 -17.041 -16.970 -17.007
4.54472e+00 -15.802 -16.219 -16.408 -16.622 -16.829 -17.073 -16.970 -17.067
4.62932e+00 -15.876 -16.305 -16.455 -16.701 -16.916 -17.140 -17.075 -17.113
4.71550e+00 -15.941 -16.354 -16.507 -16.767 -16.982 -17.151 -17.046 -17.133
4.80328e+00 -16.049 -16.418 -16.555 -16.817 -17.039 -17.205 -17.073 -17.142
4.89269e+00 -16.139 -16.488 -16.631 -16.885 -17.147 -17.193 -17.182 -17.190
4.98377e+00 -16.240 -16.531 -16.684 -16.940 -17.179 -17.246 -17.172 -17.286
5.07655e+00 -16.300 -16.577 -16.734 -16.997 -17.249 -17.280 -17.109 -17.274
5.17105e+00 -16.379 -16.661 -16.781 -17.055 -17.308 -17.342 -17.303 -17.366
5.26731e+00 -16.494 -16.706 -16.824 -17.103 -17.373 -17.330 -17.322 -17.370
5.36537e+00 -16.562 -16.757 -16.894 -17.167 -17.404 -17.394 -17.360 -17.352
5.46525e+00 -16.636 -16.800 -16.942 -17.220 -17.476 -17.388 -17.360 -17.407
5.56699e+00 -16.730 -16.877 -16.987 -17.290 -17.534 -17.427 -17.403 -17.471
5.67062e+00 -16.823 -16.920 -17.044 -17.342 -17.570 -17.492 -17.448 -17.495
5.77618e+00 -16.885 -16.995 -17.101 -17.385 -17.655 -17.515 -17.487 -17.558
5.88371e+00 -16.966 -17.048 -17.136 -17.433 -17.691 -17.554 -17.525 -17.517
5.99324e+00 -17.030 -17.089 -17.193 -17.483 -17.739 -17.627 -17.552 -17.614
6.10480e+00 -17.097 -17.128 -17.236 -17.532 -17.777 -17.591 -17.599 -17.660
6.21845e+00 -17.164 -17.183 -17.288 -17.583 -17.826 -17.632 -17.637 -17.624
6.33421e+00 -17.221 -17.234 -17.342 -17.635 -17.873 -17.683 -17.671 -17.725
6.45212e+00 -17.289 -17.291 -17.379 -17.676 -17.927 -17.702 -17.726 -17.734
6.57223e+00 -17.364 -17.345 -17.418 -17.719 -17.964 -17.718 -17.750 -17.745
6.69458e+00 -17.420 -17.389 -17.469 -17.777 -18.004 -17.763 -17.753 -17.752
6.81920e+00 -17.484 -17.433 -17.515 -17.822 -18.065 -17.815 -17.801 -17.833
6.94614e+00 -17.541 -17.487 -17.561 -17.863 -18.096 -17.841 -17.830 -17.871
7.07545e+00 -17.595 -17.526 -17.605 -17.905 -18.159 -17.865 -17.871 -17.894
7.20716e+00 -17.646 -17.576 -17.647 -17.956 -18.189 -17.912 -17.933 -17.926
7.34133e+00 -17.682 -17.628 -17.676 -17.986 -18.229 -17.935 -17.958 -17.938
7.47799e+00 -17.739 -17.667 -17.721 -18.033 -18.272 -17.967 -17.976 -17.978
7.61720e+00 -17.791 -17.712 -17.771 -18.073 -18.318 -17.998 -18.028 -18.003
7.75900e+00 -17.838 -17.759 -17.815 -18.114 -18.353 -18.046 -18.061 -18.022
7.90343e+00 -17.881 -17.804 -17.857 -18.147 -18.392 -18.075 -18.076 -18.072
8.05056e+00 -17.934 -17.852 -17.894 -18.185 -18.427 -18.104 -18.110 -18.081
8.20043e+00 -17.968 -17.893 -17.924 -18.220 -18.466 -18.133 -18.152 -18.132
8.35308e+00 -18.008 -17.938 -17.965 -18.263 -18.512 -18.156 -18.162 -18.183
8.50858e+00 -18.048 -17.976 -18.010 -18.304 -18.546 -18.203 -18.230 -18.181
8.66697e+00 -18.093 -18.024 -18.039 -18.336 -18.577 -18.219 -18.251 -18.244
8.82831e+00 -18.128 -18.064 -18.080 -18.363 -18.608 -18.248 -18.238 -18.246
8.99265e+00 -18.160 -18.104 -18.121 -18.397 -18.647 -18.272 -18.285 -18.291
9.16006e+00 -18.190 -18.144 -18.157 -18.432 -18.687 -18.306 -18.316 -18.315
9.33058e+00 -18.227 -18.185 -18.203 -18.471 -18.715 -18.338 -18.351 -18.347
9.50427e+00 -18.263 -18.227 -18.226 -18.500 -18.752 -18.351 -18.363 -18.382
9.68120e+00 -18.289 -18.270 -18.268 -18.532 -18.790 -18.381 -18.403 -18.397
9.86142e+00 -18.323 -18.302 -18.304 -18.561 -18.818 -18.413 -18.432 -18.415
1.00450e+01 -18.353 -18.343 -18.339 -18.591 -18.845 -18.442 -18.451 -18.454
1.02320e+01 -18.369 -18.378 -18.372 -18.620 -18.874 -18.464 -18.467 -18.480
1.04225e+01 -18.401 -18.418 -18.407 -18.652 -18.909 -18.485 -18.479 -18.495
1.06165e+01 -18.423 -18.449 -18.443 -18.679 -18.942 -18.496 -18.524 -18.488
1.08141e+01 -18.447 -18.490 -18.478 -18.708 -18.966 -18.528 -18.538 -18.550
1.10154e+01 -18.467 -18.524 -18.515 -18.735 -18.995 -18.549 -18.568 -18.580
1.12205e+01 -18.486 -18.558 -18.548 -18.761 -19.020 -18.564 -18.590 -18.590
1.14294e+01 -18.507 -18.591 -18.578 -18.780 -19.045 -18.589 -18.622 -18.627
1.16421e+01 -18.526 -18.625 -18.615 -18.808 -19.072 -18.598 -18.618 -18.630
1.18588e+01 -18.543 -18.657 -18.646 -18.834 -19.094 -18.622 -18.633 -18.671
1.20796e+01 -18.555 -18.684 -18.680 -18.857 -19.120 -18.635 -18.664 -18.677
1.23045e+01 -18.563 -18.711 -18.709 -18.873 -19.141 -18.640 -18.678 -18.707
1.25335e+01 -18.572 -18.742 -18.746 -18.903 -19.159 -18.668 -18.697 -18.723
1.27668e+01 -18.579 -18.769 -18.770 -18.919 -19.180 -18.677 -18.714 -18.751
1.30045e+01 -18.587 -18.792 -18.801 -18.941 -19.198 -18.686 -18.721 -18.781
1.32466e+01 -18.592 -18.816 -18.829 -18.957 -19.215 -18.702 -18.729 -18.792
1.34932e+01 -18.590 -18.844 -18.856 -18.974 -19.235 -18.713 -18.747 -18.795
1.37444e+01 -18.592 -18.866 -18.882 -18.996 -19.251 -18.724 -18.754 -18.815
1.40002e+01 -18.587 -18.890 -18.908 -19.010 -19.267 -18.726 -18.774 -18.819
1.42608e+01 -18.586 -18.910 -18.934 -19.027 -19.280 -18.734 -18.784 -18.845
1.45263e+01 -18.576 -18.929 -18.956 -19.039 -19.293 -18.745 -18.791 -18.846
1.47967e+01 -18.563 -18.951 -18.982 -19.058 -19.303 -18.745 -18.801 -18.862
1.50722e+01 -18.560 -18.964 -19.003 -19.070 -19.318 -18.759 -18.812 -18.876
1.53528e+01 -18.550 -18.980 -19.021 -19.086 -19.326 -18.760 -18.811 -18.881
1.56386e+01 -18.534 -18.997 -19.042 -19.098 -19.337 -18.756 -18.816 -18.883
1.59297e+01 -18.515 -19.015 -19.064 -19.110 -19.344 -18.754 -18.819 -18.893
1.62262e+01 -18.501 -19.026 -19.084 -19.119 -19.348 -18.756 -18.823 -18.914
1.65283e+01 -18.487 -19.040 -19.102 -19.133 -19.353 -18.756 -18.834 -18.906
1.68360e+01 -18.462 -19.048 -19.117 -19.142 -19.355 -18.750 -18.830 -18.916
1.71494e+01 -18.445 -19.059 -19.134 -19.149 -19.356 -18.740 -18.827 -18.930
1.74686e+01 -18.423 -19.067 -19.150 -19.159 -19.354 -18.744 -18.829 -18.906
1.77938e+01 -18.395 -19.074 -19.165 -19.166 -19.355 -18.729 -18.824 -18.913
1.81251e+01 -18.377 -19.079 -19.177 -19.172 -19.347 -18.726 -18.816 -18.932
1.84625e+01 -18.359 -19.083 -19.187 -19.173 -19.335 -18.728 -18.835 -18.924
1.88062e+01 -18.332 -19.086 -19.198 -19.176 -19.325 -18.715 -18.809 -18.912
1.91562e+01 -18.306 -19.083 -19.207 -19.182 -19.312 -18.693 -18.812 -18.915
1.95128e+01 -18.278 -19.079 -19.215 -19.183 -19.294 -18.686 -18.797 -18.914
1.98761e+01 -18.252 -19.077 -19.224 -19.178 -19.282 -18.682 -18.804 -18.918
2.02461e+01 -18.222 -19.071 -19.226 -19.181 -19.271 -18.662 -18.779 -18.908
