#NTIMES:  38
#NBANDS:   8
#OPTSET: Bessell
#NIRSET: 2MASS
#time[d] U B V R I J H K
2.02000e+00 -12.508 -12.672 -13.151 -13.581 -14.272 -14.088 -14.206 -14.391
2.05000e+00 -12.387 -12.626 -13.111 -13.514 -14.148 -14.105 -14.199 -14.387
2.10000e+00 -12.280 -12.681 -13.146 -13.493 -14.014 -14.185 -14.256 -14.422
2.20000e+00 -12.487 -13.108 -13.501 -13.738 -14.034 -14.452 -14.513 -14.634
2.40000e+00 -13.527 -14.005 -14.272 -14.449 -14.579 -15.029 -15.079 -15.168
2.64000e+00 -14.530 -14.788 -14.890 -15.080 -15.126 -15.580 -15.574 -15.598
2.90000e+00 -15.318 -15.413 -15.369 -15.576 -15.524 -16.024 -15.987 -15.921
3.19000e+00 -15.976 -15.913 -15.769 -16.017 -15.849 -16.382 -16.381 -16.250
3.51000e+00 -16.553 -16.314 -16.119 -16.410 -16.199 -16.697 -16.702 -16.533
3.86000e+00 -16.988 -16.649 -16.402 -16.736 -16.593 -16.930 -16.922 -16.739
4.25000e+00 -17.301 -16.905 -16.642 -16.986 -16.890 -17.091 -17.069 -16.896
4.67000e+00 -17.568 -17.119 -16.862 -17.198 -17.122 -17.231 -17.194 -17.040
5.14000e+00 -17.827 -17.326 -17.078 -17.402 -17.331 -17.370 -17.316 -17.184
5.65000e+00 -18.072 -17.530 -17.286 -17.595 -17.518 -17.506 -17.433 -17.321
6.21000e+00 -18.305 -17.733 -17.487 -17.776 -17.687 -17.640 -17.545 -17.446
6.83000e+00 -18.524 -17.933 -17.678 -17.945 -17.838 -17.771 -17.648 -17.558
7.51000e+00 -18.724 -18.127 -17.859 -18.099 -17.970 -17.893 -17.737 -17.654
8.26000e+00 -18.906 -18.313 -18.032 -18.237 -18.083 -18.001 -17.807 -17.729
9.09000e+00 -19.068 -18.491 -18.200 -18.359 -18.174 -18.086 -17.854 -17.782
1.00000e+01 -19.210 -18.657 -18.362 -18.463 -18.240 -18.141 -17.875 -17.813
1.10000e+01 -19.330 -18.809 -18.518 -18.549 -18.279 -18.162 -17.872 -17.824
1.21000e+01 -19.429 -18.945 -18.665 -18.624 -18.297 -18.151 -17.847 -17.821
1.33100e+01 -19.508 -19.063 -18.805 -18.699 -18.316 -18.117 -17.808 -17.812
1.46400e+01 -19.551 -19.159 -18.930 -18.779 -18.351 -18.071 -17.763 -17.804
1.61000e+01 -19.557 -19.225 -19.034 -18.862 -18.409 -18.022 -17.722 -17.805
1.77100e+01 -19.511 -19.255 -19.109 -18.937 -18.472 -17.975 -17.696 -17.815
1.94800e+01 -19.422 -19.242 -19.151 -18.993 -18.525 -17.929 -17.698 -17.838
2.14300e+01 -19.283 -19.186 -19.148 -19.015 -18.540 -17.863 -17.727 -17.873
2.35700e+01 -19.108 -19.089 -19.107 -18.993 -18.505 -17.745 -17.773 -17.918
2.59300e+01 -18.921 -18.948 -19.028 -18.924 -18.412 -17.533 -17.812 -17.963
2.85200e+01 -18.689 -18.764 -18.917 -18.795 -18.237 -17.135 -17.829 -17.989
3.13700e+01 -18.417 -18.524 -18.778 -18.621 -18.034 -16.657 -17.862 -17.996
3.45100e+01 -18.213 -18.295 -18.608 -18.442 -17.954 -16.464 -17.933 -18.012
3.80000e+01 -17.700 -17.901 -18.399 -18.286 -18.007 -16.471 -18.065 -18.062
4.10000e+01 -17.529 -17.735 -18.253 -18.173 -17.975 -16.390 -17.998 -17.982
4.51000e+01 -17.267 -17.466 -18.067 -18.125 -18.242 -16.681 -18.179 -18.089
4.96100e+01 -16.969 -17.150 -17.796 -17.959 -18.209 -16.974 -18.149 -18.000
5.45700e+01 -16.746 -16.896 -17.507 -17.676 -17.868 -16.563 -17.807 -17.636
