#NTIMES: 145 
#TIMES[d]: 4.14 4.22 4.31 4.40 4.49 4.58 4.68 4.77 4.87 4.97 5.08 5.18 5.29 5.40 5.51 5.62 5.74 5.86 5.98 6.10 6.23 6.36 6.49 6.62 6.76 6.90 7.04 7.19 7.34 7.49 7.64 7.80 7.96 8.13 8.30 8.47 8.64 8.82 9.01 9.19 9.38 9.58 9.77 9.98 10.18 10.39 10.61 10.83 11.05 11.28 11.51 11.75 11.99 12.24 12.50 12.75 13.02 13.29 13.56 13.84 14.13 14.42 14.72 15.02 15.33 15.65 15.98 16.31 16.64 16.99 17.34 17.70 18.06 18.44 18.82 19.21 19.60 20.01 20.42 20.85 21.28 21.72 22.17 22.62 23.09 23.57 24.06 24.56 25.06 25.58 26.11 26.65 27.20 27.76 28.34 28.93 29.52 30.13 30.76 31.39 32.04 32.71 33.38 34.07 34.78 35.50 36.23 36.98 37.74 38.53 39.32 40.14 40.97 41.81 42.68 43.56 44.46 45.38 46.32 47.28 48.26 49.25 50.27 51.31 52.37 53.46 54.56 55.69 56.84 58.02 59.22 60.44 61.69 62.97 64.27 65.60 66.96 68.34 69.76 71.20 72.67 74.17 75.71 77.27 78.87 
#
#TIME: 4.14 
#NVEL: 81 
#vel_mid[km/s] temp[K] rho[gcc] ne[/cm^3] natom[/cm^3] 
250.00 1.40e+05 6.28e-11 2.49e+12 6.01e+11 
750.00 1.40e+05 5.42e-11 2.16e+12 5.18e+11 
1250.00 1.40e+05 4.59e-11 1.83e+12 4.39e+11 
1750.00 1.40e+05 3.88e-11 1.54e+12 3.71e+11 
2250.00 1.37e+05 3.27e-11 1.29e+12 3.13e+11 
2750.00 1.26e+05 2.75e-11 1.07e+12 2.63e+11 
3250.00 1.16e+05 2.32e-11 8.95e+11 2.22e+11 
3750.00 1.06e+05 1.95e-11 7.49e+11 1.87e+11 
4250.00 9.71e+04 1.64e-11 6.26e+11 1.57e+11 
4750.00 8.92e+04 1.38e-11 5.25e+11 1.32e+11 
5250.00 8.20e+04 1.16e-11 4.40e+11 1.11e+11 
5750.00 7.55e+04 9.79e-12 3.68e+11 9.36e+10 
6250.00 6.95e+04 8.24e-12 3.06e+11 7.88e+10 
6750.00 4.86e+04 6.93e-12 2.75e+11 6.66e+10 
7250.00 4.37e+04 5.83e-12 2.38e+11 5.85e+10 
7750.00 3.95e+04 4.91e-12 2.15e+11 5.36e+10 
8250.00 3.61e+04 4.13e-12 1.99e+11 5.00e+10 
8750.00 3.54e+04 3.48e-12 1.83e+11 4.66e+10 
9250.00 3.53e+04 2.93e-12 1.65e+11 4.30e+10 
9750.00 3.26e+04 2.46e-12 1.47e+11 3.91e+10 
10250.00 2.78e+04 2.07e-12 1.27e+11 3.49e+10 
10750.00 2.33e+04 1.74e-12 1.02e+11 3.07e+10 
11250.00 2.03e+04 1.47e-12 7.79e+10 2.66e+10 
11750.00 1.85e+04 1.23e-12 6.02e+10 2.27e+10 
12250.00 1.67e+04 1.04e-12 4.54e+10 1.92e+10 
12750.00 1.51e+04 8.73e-13 3.33e+10 1.62e+10 
13250.00 1.42e+04 7.35e-13 2.64e+10 1.36e+10 
13750.00 1.32e+04 6.18e-13 2.10e+10 1.15e+10 
14250.00 1.22e+04 5.20e-13 1.68e+10 9.65e+09 
14750.00 1.12e+04 4.38e-13 1.38e+10 8.12e+09 
15250.00 1.05e+04 3.68e-13 1.15e+10 6.83e+09 
15750.00 9.81e+03 3.10e-13 9.59e+09 5.75e+09 
16250.00 9.40e+03 2.61e-13 8.04e+09 4.83e+09 
16750.00 8.86e+03 2.19e-13 6.73e+09 4.07e+09 
17250.00 8.52e+03 1.85e-13 5.60e+09 3.42e+09 
17750.00 8.03e+03 1.55e-13 4.62e+09 2.88e+09 
18250.00 7.91e+03 1.31e-13 3.79e+09 2.42e+09 
18750.00 7.47e+03 1.10e-13 3.07e+09 2.04e+09 
19250.00 7.27e+03 9.25e-14 2.42e+09 1.72e+09 
19750.00 6.85e+03 7.78e-14 1.90e+09 1.44e+09 
20250.00 6.86e+03 6.55e-14 1.53e+09 1.21e+09 
20750.00 6.35e+03 5.51e-14 1.22e+09 1.02e+09 
21250.00 5.77e+03 4.64e-14 9.99e+08 8.60e+08 
21750.00 6.98e+03 3.90e-14 8.18e+08 7.23e+08 
22250.00 7.47e+03 3.28e-14 6.78e+08 6.09e+08 
22750.00 6.94e+03 2.76e-14 5.62e+08 5.12e+08 
23250.00 5.91e+03 2.32e-14 4.70e+08 4.31e+08 
23750.00 6.84e+03 1.95e-14 3.94e+08 3.62e+08 
24250.00 5.84e+03 1.64e-14 3.31e+08 3.05e+08 
24750.00 4.70e+03 1.38e-14 2.77e+08 2.57e+08 
25250.00 4.68e+03 1.16e-14 2.33e+08 2.16e+08 
25750.00 4.04e+03 9.80e-15 1.96e+08 1.82e+08 
26250.00 4.00e+03 8.24e-15 1.65e+08 1.53e+08 
26750.00 5.08e+03 6.94e-15 1.38e+08 1.29e+08 
27250.00 4.12e+03 5.84e-15 1.16e+08 1.08e+08 
27750.00 8.27e+03 4.91e-15 9.80e+07 9.10e+07 
28250.00 5.53e+03 4.13e-15 8.24e+07 7.66e+07 
28750.00 5.35e+03 3.48e-15 6.93e+07 6.44e+07 
29250.00 5.19e+03 2.92e-15 5.83e+07 5.42e+07 
29750.00 4.76e+03 2.46e-15 4.91e+07 4.56e+07 
