#NTIMES: 50
#TIMES[d]: 199.16 202.03 204.93 207.87 210.86 213.89 216.97 220.09 223.25 226.46 229.71 233.01 236.36 239.76 243.21 246.70 250.25 253.85 257.50 261.20 264.95 268.76 272.62 276.54 280.51 284.55 288.64 292.79 296.99 301.26 305.59 309.99 314.44 318.96 323.55 328.19 332.91 337.70 342.55 347.48 352.47 357.54 362.68 367.89 373.18 378.54 383.98 389.50 395.10 400.78
#
#TIME: 199.16
#NVEL: 81
#vel_mid[km/s] temp[K] rho[gcc] ne[/cm^3] natom[/cm^3]
250.00 6.1019e+03 5.6286e-16 1.3501e+07 5.9636e+06
750.00 6.3189e+03 4.8567e-16 1.2070e+07 5.1461e+06
1250.00 6.6042e+03 4.1158e-16 1.0675e+07 4.3607e+06
1750.00 6.8882e+03 3.4741e-16 9.3361e+06 3.6802e+06
2250.00 7.1298e+03 2.9282e-16 8.0866e+06 3.1019e+06
2750.00 7.3418e+03 2.4666e-16 6.9636e+06 2.6135e+06
3250.00 7.5619e+03 2.0771e-16 5.9826e+06 2.2006e+06
3750.00 7.7858e+03 1.7485e-16 5.1293e+06 1.8525e+06
4250.00 8.0560e+03 1.4718e-16 4.4037e+06 1.5593e+06
4750.00 8.3371e+03 1.2388e-16 3.7723e+06 1.3125e+06
5250.00 8.6883e+03 1.0426e-16 3.2399e+06 1.1045e+06
5750.00 9.0430e+03 8.7740e-17 2.7735e+06 9.2959e+05
6250.00 9.4467e+03 7.3836e-17 2.3801e+06 7.8232e+05
6750.00 9.7747e+03 6.2133e-17 2.0341e+06 6.6096e+05
7250.00 9.6678e+03 5.2285e-17 1.7419e+06 5.7874e+05
7750.00 9.0902e+03 4.3996e-17 1.4916e+06 5.2626e+05
8250.00 8.3681e+03 3.7021e-17 1.2749e+06 4.8731e+05
8750.00 7.6939e+03 3.1151e-17 1.0613e+06 4.5178e+05
9250.00 7.0705e+03 2.6213e-17 8.6956e+05 4.1489e+05
9750.00 6.5148e+03 2.2056e-17 7.1428e+05 3.7540e+05
10250.00 6.0536e+03 1.8558e-17 5.8042e+05 3.3420e+05
10750.00 5.6604e+03 1.5615e-17 4.7402e+05 2.9305e+05
11250.00 5.3776e+03 1.3139e-17 3.8967e+05 2.5333e+05
11750.00 5.1521e+03 1.1055e-17 3.2499e+05 2.1652e+05
12250.00 5.0518e+03 9.3021e-18 2.7424e+05 1.8329e+05
12750.00 5.0333e+03 7.8268e-18 2.3358e+05 1.5431e+05
13250.00 4.9736e+03 6.5854e-18 2.0129e+05 1.2983e+05
13750.00 5.0220e+03 5.5411e-18 1.6874e+05 1.0925e+05
14250.00 5.0103e+03 4.6622e-18 1.4517e+05 9.1927e+04
14750.00 5.0739e+03 3.9227e-18 1.2460e+05 7.7352e+04
15250.00 5.0875e+03 3.3006e-18 1.0586e+05 6.5072e+04
15750.00 5.0568e+03 2.7771e-18 8.9106e+04 5.4761e+04
16250.00 5.0916e+03 2.3365e-18 7.9381e+04 4.6059e+04
16750.00 5.0936e+03 1.9660e-18 6.5784e+04 3.8763e+04
17250.00 5.2045e+03 1.6542e-18 5.7510e+04 3.2612e+04
17750.00 5.1201e+03 1.3918e-18 4.8717e+04 2.7439e+04
18250.00 5.3376e+03 1.1710e-18 4.2306e+04 2.3087e+04
18750.00 5.4014e+03 9.8528e-19 3.6570e+04 1.9426e+04
19250.00 5.4042e+03 8.2900e-19 3.2001e+04 1.6344e+04
19750.00 5.4402e+03 6.9750e-19 2.6808e+04 1.3751e+04
20250.00 5.5174e+03 5.8687e-19 2.2228e+04 1.1571e+04
20750.00 5.5511e+03 4.9378e-19 1.9738e+04 9.7346e+03
21250.00 5.8146e+03 4.1545e-19 1.6431e+04 8.1910e+03
21750.00 5.7540e+03 3.4956e-19 1.4433e+04 6.8921e+03
22250.00 6.0194e+03 2.9412e-19 1.2188e+04 5.7986e+03
22750.00 6.0348e+03 2.4745e-19 1.0512e+04 4.8781e+03
23250.00 6.3194e+03 2.0820e-19 9.0402e+03 4.1042e+03
23750.00 6.7822e+03 1.7518e-19 7.6386e+03 3.4537e+03
24250.00 6.9685e+03 1.4739e-19 6.6864e+03 2.9058e+03
24750.00 7.2911e+03 1.2401e-19 5.7642e+03 2.4450e+03
25250.00 7.8942e+03 1.0434e-19 4.9824e+03 2.0571e+03
25750.00 8.7538e+03 8.7791e-20 4.2319e+03 1.7306e+03
26250.00 9.6503e+03 7.3864e-20 3.6130e+03 1.4562e+03
26750.00 1.0383e+04 6.2147e-20 3.1194e+03 1.2252e+03
27250.00 1.1133e+04 5.2288e-20 2.6762e+03 1.0309e+03
27750.00 1.1838e+04 4.3994e-20 2.2842e+03 8.6732e+02
28250.00 1.2578e+04 3.7015e-20 1.9515e+03 7.2977e+02
28750.00 1.3416e+04 3.1145e-20 1.6588e+03 6.1401e+02
29250.00 1.4366e+04 2.6205e-20 1.4117e+03 5.1659e+02
29750.00 1.5231e+04 2.2048e-20 1.2007e+03 4.3465e+02
30250.00 1.6144e+04 1.8550e-20 1.0209e+03 3.6569e+02
30750.00 1.7204e+04 1.5608e-20 8.6430e+02 3.0767e+02
31250.00 1.8154e+04 1.3132e-20 7.3284e+02 2.5885e+02
31750.00 1.9281e+04 1.1049e-20 6.2082e+02 2.1786e+02
32250.00 2.0418e+04 9.2960e-21 5.2533e+02 1.8328e+02
32750.00 2.1692e+04 7.8215e-21 4.4453e+02 1.5421e+02
33250.00 2.3017e+04 6.5807e-21 3.7564e+02 1.2974e+02
33750.00 2.4158e+04 5.5368e-21 3.1762e+02 1.0916e+02
34250.00 2.5571e+04 4.6585e-21 2.6838e+02 9.1847e+01
34750.00 2.6926e+04 3.9196e-21 2.2658e+02 7.7269e+01
35250.00 2.8363e+04 3.2978e-21 1.9118e+02 6.5013e+01
35750.00 2.9873e+04 2.7748e-21 1.6126e+02 5.4699e+01
36250.00 3.0000e+04 2.3346e-21 1.3600e+02 4.6027e+01
36750.00 3.0000e+04 1.9642e-21 1.1462e+02 3.8729e+01
37250.00 3.0000e+04 1.6526e-21 9.6603e+01 3.2581e+01
37750.00 3.0000e+04 1.3905e-21 8.1409e+01 2.7417e+01
38250.00 3.0000e+04 1.1699e-21 6.8584e+01 2.3064e+01
38750.00 3.0000e+04 9.8432e-22 5.7776e+01 1.9407e+01
39250.00 3.0000e+04 8.2819e-22 4.8657e+01 1.6328e+01
39750.00 3.0000e+04 6.9681e-22 4.0973e+01 1.3737e+01
40250.00 3.0000e+04 5.8628e-22 3.4501e+01 1.1558e+01
#TIME: 202.03
#NVEL: 81
#vel_mid[km/s] temp[K] rho[gcc] ne[/cm^3] natom[/cm^3]
250.00 6.0741e+03 5.3927e-16 1.2881e+07 5.7144e+06
750.00 6.2806e+03 4.6532e-16 1.1529e+07 4.9312e+06
1250.00 6.5669e+03 3.9433e-16 1.0216e+07 4.1785e+06
1750.00 6.8486e+03 3.3284e-16 8.9306e+06 3.5276e+06
2250.00 7.0918e+03 2.8055e-16 7.7427e+06 2.9735e+06
2750.00 7.3060e+03 2.3632e-16 6.6743e+06 2.5043e+06
3250.00 7.5218e+03 1.9900e-16 5.7294e+06 2.1088e+06
3750.00 7.7562e+03 1.6752e-16 4.9175e+06 1.7754e+06
4250.00 8.0251e+03 1.4101e-16 4.2172e+06 1.4944e+06
4750.00 8.3097e+03 1.1869e-16 3.6135e+06 1.2576e+06
5250.00 8.6634e+03 9.9887e-17 3.1013e+06 1.0585e+06
5750.00 9.0178e+03 8.4062e-17 2.6580e+06 8.9083e+05
6250.00 9.4397e+03 7.0741e-17 2.2837e+06 7.4969e+05
6750.00 9.7609e+03 5.9529e-17 1.9491e+06 6.3353e+05
7250.00 9.6601e+03 5.0093e-17 1.6695e+06 5.5459e+05
7750.00 9.0828e+03 4.2152e-17 1.4295e+06 5.0423e+05
8250.00 8.3523e+03 3.5469e-17 1.2216e+06 4.6698e+05
8750.00 7.6657e+03 2.9845e-17 1.0168e+06 4.3289e+05
9250.00 7.0352e+03 2.5114e-17 8.3631e+05 3.9753e+05
9750.00 6.4876e+03 2.1132e-17 6.8130e+05 3.5969e+05
10250.00 6.0076e+03 1.7780e-17 5.5666e+05 3.2024e+05
10750.00 5.6306e+03 1.4961e-17 4.5378e+05 2.8074e+05
11250.00 5.3309e+03 1.2588e-17 3.7338e+05 2.4273e+05
11750.00 5.1170e+03 1.0592e-17 3.1084e+05 2.0742e+05
12250.00 5.0227e+03 8.9122e-18 2.6247e+05 1.7560e+05
12750.00 5.0136e+03 7.4987e-18 2.2199e+05 1.4784e+05
13250.00 4.9671e+03 6.3094e-18 1.8974e+05 1.2440e+05
13750.00 4.9601e+03 5.3088e-18 1.6177e+05 1.0466e+05
14250.00 4.9583e+03 4.4668e-18 1.3858e+05 8.8064e+04
14750.00 5.0142e+03 3.7583e-18 1.1974e+05 7.4092e+04
15250.00 5.0794e+03 3.1622e-18 9.9411e+04 6.2348e+04
15750.00 5.0896e+03 2.6607e-18 8.6032e+04 5.2459e+04
16250.00 5.0802e+03 2.2386e-18 7.4189e+04 4.4135e+04
16750.00 4.9335e+03 1.8836e-18 6.3489e+04 3.7135e+04
17250.00 5.1538e+03 1.5848e-18 5.4351e+04 3.1246e+04
17750.00 5.2027e+03 1.3334e-18 4.5880e+04 2.6290e+04
18250.00 5.1543e+03 1.1219e-18 4.0840e+04 2.2120e+04
18750.00 5.0659e+03 9.4398e-19 3.5177e+04 1.8610e+04
19250.00 5.3136e+03 7.9425e-19 3.0054e+04 1.5660e+04
19750.00 5.5291e+03 6.6826e-19 2.4455e+04 1.3176e+04
20250.00 5.6299e+03 5.6227e-19 2.1013e+04 1.1085e+04
20750.00 5.3228e+03 4.7308e-19 1.8822e+04 9.3267e+03
21250.00 5.5284e+03 3.9804e-19 1.6012e+04 7.8483e+03
21750.00 5.4569e+03 3.3491e-19 1.4026e+04 6.6025e+03
22250.00 5.7347e+03 2.8179e-19 1.1955e+04 5.5560e+03
22750.00 5.9883e+03 2.3708e-19 1.0357e+04 4.6738e+03
23250.00 6.0570e+03 1.9947e-19 8.9388e+03 3.9323e+03
