#NTIMES:     39
#TIMES[d]:     2.000    2.020    2.050    2.100    2.200    2.400    2.640    2.900    3.190    3.510    3.860    4.250    4.670    5.140    5.650    6.210    6.830    7.510    8.260    9.090   10.000   11.000   12.100   13.310   14.640   16.100   17.710   19.480   21.430   23.570   25.930   28.520   31.370   34.510   38.000   41.000   45.100   49.610   54.570
#
#TIME:     2.000
#NVEL: 100
#vel_mid[km/s]       temp[K]        rho[gcc]     ne[/cm^3]   natom[cm^3]
    1.025000E+03    1.1507E+05    4.4372E-10    2.3891E+13    4.7782E+12
    1.037120E+03    1.1495E+05    4.4187E-10    2.3791E+13    4.7582E+12
    1.061360E+03    1.1471E+05    4.3818E-10    2.3593E+13    4.7186E+12
    1.109839E+03    1.1423E+05    4.3091E-10    2.3201E+13    4.6403E+12
    1.213017E+03    1.1322E+05    4.1583E-10    2.2389E+13    4.4778E+12
    1.325723E+03    1.1213E+05    3.9995E-10    2.1534E+13    4.3069E+12
    1.448902E+03    1.1094E+05    3.8329E-10    2.0637E+13    4.1275E+12
    1.583526E+03    1.0966E+05    3.6587E-10    1.9699E+13    3.9399E+12
    1.730658E+03    1.0827E+05    3.4775E-10    1.8724E+13    3.7447E+12
    1.891461E+03    1.0678E+05    3.2896E-10    1.7712E+13    3.5424E+12
    2.067205E+03    1.0517E+05    3.0958E-10    1.6669E+13    3.3338E+12
    2.259278E+03    1.0344E+05    2.8971E-10    1.5599E+13    3.1197E+12
    2.469197E+03    1.0158E+05    2.6945E-10    1.4508E+13    2.9016E+12
    2.698621E+03    9.9587E+04    2.4891E-10    1.3402E+13    2.6804E+12
    2.949361E+03    9.7456E+04    2.2826E-10    1.2290E+13    2.4580E+12
    3.223399E+03    9.5176E+04    2.0764E-10    1.1180E+13    2.2360E+12
    3.522899E+03    9.2746E+04    1.8724E-10    1.0081E+13    2.0163E+12
    3.850227E+03    9.0161E+04    1.6722E-10    9.0033E+12    1.8007E+12
    4.207968E+03    8.7418E+04    1.4778E-10    7.9566E+12    1.5913E+12
    4.598949E+03    8.4515E+04    1.2911E-10    6.9514E+12    1.3903E+12
    5.026257E+03    8.1453E+04    1.1139E-10    5.9976E+12    1.1995E+12
    5.493268E+03    7.8234E+04    9.4795E-11    5.1039E+12    1.0208E+12
    6.003672E+03    7.4868E+04    7.9471E-11    4.2789E+12    8.5579E+11
    6.563976E+03    7.1295E+04    6.5486E-11    3.5258E+12    7.0519E+11
    7.150150E+03    6.7178E+04    5.3481E-11    2.9287E+12    5.9342E+11
    7.624563E+03    6.3031E+04    4.5397E-11    2.5836E+12    5.3843E+11
    8.015598E+03    5.9201E+04    3.9661E-11    2.3547E+12    5.0510E+11
    8.365060E+03    5.5543E+04    3.5150E-11    2.1751E+12    4.7917E+11
    8.678533E+03    5.2123E+04    3.1543E-11    2.0260E+12    4.5668E+11
    8.970829E+03    4.8847E+04    2.8513E-11    1.8922E+12    4.3533E+11
    9.225513E+03    4.5944E+04    2.6112E-11    1.7761E+12    4.1611E+11
    9.474694E+03    4.3074E+04    2.3959E-11    1.6584E+12    3.9665E+11
    9.694307E+03    4.0526E+04    2.2208E-11    1.5519E+12    3.7902E+11
    9.904307E+03    3.8079E+04    2.0654E-11    1.4585E+12    3.6183E+11
    1.009658E+04    3.5832E+04    1.9327E-11    1.3845E+12    3.4592E+11
    1.028085E+04    3.3673E+04    1.8134E-11    1.3170E+12    3.3060E+11
