#NTIMES:           33
#TIMES[d]:    1.00000E-01   5.00000E-01   1.00000E+00   2.00000E+00   3.00000E+00   4.00000E+00   5.00000E+00   6.00000E+00   7.00000E+00   8.00000E+00   9.00000E+00   1.00000E+01   1.20000E+01   1.40000E+01   1.60000E+01   1.80000E+01   2.00000E+01   2.20000E+01   2.40000E+01   2.60000E+01   2.80000E+01   3.00000E+01   3.50000E+01   4.00000E+01   5.00000E+01   6.00000E+01   7.00000E+01   8.00000E+01   9.00000E+01   1.00000E+02   1.10000E+02   1.20000E+02   1.30000E+02
#
#TIME:    1.00000E-01
#NVEL:          202
#vel_mid[km/s] temp[K] rho[gcc] ne[/cm^3] natom[/cm^3]
1.00600E+02 4.53942E+05 1.35831E-06 1.00000E-99 1.00000E-99
3.02100E+02 4.50817E+05 1.32434E-06 1.00000E-99 1.00000E-99
5.02500E+02 4.43609E+05 1.25026E-06 1.00000E-99 1.00000E-99
7.02500E+02 4.37522E+05 1.17220E-06 1.00000E-99 1.00000E-99
9.02500E+02 4.30527E+05 1.09648E-06 1.00000E-99 1.00000E-99
1.10250E+03 4.22669E+05 1.02329E-06 1.00000E-99 1.00000E-99
1.30250E+03 4.15911E+05 9.57194E-07 1.00000E-99 1.00000E-99
1.50250E+03 4.09261E+05 8.93305E-07 1.00000E-99 1.00000E-99
1.70240E+03 4.02717E+05 8.33681E-07 1.00000E-99 1.00000E-99
1.90240E+03 3.96278E+05 7.78037E-07 1.00000E-99 1.00000E-99
2.10240E+03 3.89045E+05 7.26106E-07 1.00000E-99 1.00000E-99
2.30240E+03 3.82825E+05 6.77642E-07 1.00000E-99 1.00000E-99
2.50240E+03 3.76704E+05 6.32412E-07 1.00000E-99 1.00000E-99
2.70230E+03 3.70681E+05 5.90201E-07 1.00000E-99 1.00000E-99
2.90230E+03 3.64754E+05 5.50808E-07 1.00000E-99 1.00000E-99
3.10230E+03 3.58922E+05 5.14044E-07 1.00000E-99 1.00000E-99
3.30230E+03 3.53183E+05 4.80839E-07 1.00000E-99 1.00000E-99
3.50230E+03 3.47536E+05 4.48745E-07 1.00000E-99 1.00000E-99
3.70230E+03 3.41979E+05 4.18794E-07 1.00000E-99 1.00000E-99
3.90230E+03 3.35738E+05 3.90841E-07 1.00000E-99 1.00000E-99
4.10220E+03 3.30370E+05 3.64754E-07 1.00000E-99 1.00000E-99
4.30220E+03 3.25087E+05 3.40408E-07 1.00000E-99 1.00000E-99
4.50220E+03 3.19890E+05 3.17687E-07 1.00000E-99 1.00000E-99
4.70220E+03 3.14775E+05 2.96483E-07 1.00000E-99 1.00000E-99
4.90220E+03 3.09742E+05 2.76694E-07 1.00000E-99 1.00000E-99
5.10220E+03 3.04789E+05 2.58226E-07 1.00000E-99 1.00000E-99
5.30220E+03 2.99916E+05 2.40991E-07 1.00000E-99 1.00000E-99
5.50220E+03 2.95121E+05 2.24905E-07 1.00000E-99 1.00000E-99
5.70220E+03 2.90402E+05 2.09894E-07 1.00000E-99 1.00000E-99
5.90220E+03 2.85759E+05 1.95884E-07 1.00000E-99 1.00000E-99
6.10220E+03 2.81190E+05 1.82810E-07 1.00000E-99 1.00000E-99
6.30220E+03 2.76694E+05 1.70608E-07 1.00000E-99 1.00000E-99
6.50230E+03 2.71644E+05 1.59221E-07 1.00000E-99 1.00000E-99
6.70250E+03 2.67301E+05 1.48594E-07 1.00000E-99 1.00000E-99
6.90270E+03 2.62422E+05 1.38357E-07 1.00000E-99 1.00000E-99
7.10290E+03 2.56448E+05 1.29420E-07 1.00000E-99 1.00000E-99
7.30310E+03 2.50611E+05 1.20781E-07 1.00000E-99 1.00000E-99
7.50330E+03 2.43781E+05 1.12720E-07 1.00000E-99 1.00000E-99
7.70340E+03 2.37137E+05 1.05196E-07 1.00000E-99 1.00000E-99
7.90350E+03 2.29615E+05 9.81748E-08 1.00000E-99 1.00000E-99
8.10350E+03 2.22331E+05 9.16220E-08 1.00000E-99 1.00000E-99
8.30350E+03 2.14289E+05 8.55067E-08 1.00000E-99 1.00000E-99
8.50360E+03 2.06538E+05 7.97995E-08 1.00000E-99 1.00000E-99
8.70350E+03 1.98153E+05 7.44732E-08 1.00000E-99 1.00000E-99
8.90330E+03 1.89671E+05 6.95024E-08 1.00000E-99 1.00000E-99
9.10300E+03 1.81134E+05 6.48634E-08 1.00000E-99 1.00000E-99
9.30270E+03 1.72187E+05 6.05341E-08 1.00000E-99 1.00000E-99
9.50250E+03 1.63682E+05 5.64937E-08 1.00000E-99 1.00000E-99
9.70230E+03 1.55239E+05 5.27230E-08 1.00000E-99 1.00000E-99
9.90210E+03 1.46218E+05 4.92040E-08 1.00000E-99 1.00000E-99
1.01019E+04 1.37404E+05 4.59198E-08 1.00000E-99 1.00000E-99
1.03017E+04 1.28233E+05 4.28549E-08 1.00000E-99 1.00000E-99
1.05015E+04 1.19124E+05 3.99945E-08 1.00000E-99 1.00000E-99
1.07013E+04 1.09648E+05 3.73250E-08 1.00000E-99 1.00000E-99
1.09010E+04 1.00462E+05 3.48337E-08 1.00000E-99 1.00000E-99
1.11008E+04 9.16220E+04 3.25087E-08 1.00000E-99 1.00000E-99
1.13006E+04 8.14704E+04 3.03389E-08 1.00000E-99 1.00000E-99
1.15005E+04 7.04693E+04 2.83139E-08 1.00000E-99 1.00000E-99
1.17003E+04 5.95662E+04 2.64241E-08 1.00000E-99 1.00000E-99
1.19002E+04 4.83059E+04 2.46604E-08 1.00000E-99 1.00000E-99
1.21001E+04 3.68129E+04 2.30144E-08 1.00000E-99 1.00000E-99
1.23000E+04 2.42661E+04 2.14783E-08 1.00000E-99 1.00000E-99
1.24998E+04 2.96483E+03 2.00447E-08 1.00000E-99 1.00000E-99
1.26998E+04 8.51138E+02 1.87068E-08 1.00000E-99 1.00000E-99
1.28998E+04 7.94328E+02 1.74582E-08 1.00000E-99 1.00000E-99
1.30998E+04 7.94328E+02 1.62930E-08 1.00000E-99 1.00000E-99
1.32998E+04 8.01678E+02 1.52055E-08 1.00000E-99 1.00000E-99
1.34998E+04 8.12831E+02 1.41906E-08 1.00000E-99 1.00000E-99
1.36998E+04 8.26038E+02 1.32434E-08 1.00000E-99 1.00000E-99
1.38998E+04 8.37529E+02 1.23595E-08 1.00000E-99 1.00000E-99
1.40998E+04 8.51138E+02 1.15345E-08 1.00000E-99 1.00000E-99
1.42998E+04 8.62979E+02 1.07647E-08 1.00000E-99 1.00000E-99
1.44998E+04 8.77001E+02 1.00462E-08 1.00000E-99 1.00000E-99
1.46998E+04 8.89201E+02 9.37562E-09 1.00000E-99 1.00000E-99
1.48998E+04 9.03649E+02 8.74984E-09 1.00000E-99 1.00000E-99
1.50998E+04 9.16220E+02 8.16582E-09 1.00000E-99 1.00000E-99
1.52998E+04 9.31108E+02 7.62079E-09 1.00000E-99 1.00000E-99
1.54998E+04 9.46237E+02 7.11214E-09 1.00000E-99 1.00000E-99
1.56998E+04 9.59401E+02 6.63743E-09 1.00000E-99 1.00000E-99
1.58998E+04 9.74990E+02 6.19441E-09 1.00000E-99 1.00000E-99
1.60998E+04 9.90832E+02 5.78096E-09 1.00000E-99 1.00000E-99
1.62998E+04 1.00693E+03 5.39511E-09 1.00000E-99 1.00000E-99
1.64998E+04 1.02329E+03 5.03501E-09 1.00000E-99 1.00000E-99
1.66998E+04 1.03992E+03 4.69894E-09 1.00000E-99 1.00000E-99
1.68998E+04 1.05925E+03 4.38531E-09 1.00000E-99 1.00000E-99
1.70998E+04 1.07647E+03 4.09261E-09 1.00000E-99 1.00000E-99
1.72998E+04 1.09648E+03 3.81944E-09 1.00000E-99 1.00000E-99
1.74998E+04 1.11429E+03 3.56451E-09 1.00000E-99 1.00000E-99
1.76998E+04 1.13501E+03 3.32660E-09 1.00000E-99 1.00000E-99
1.78998E+04 1.15611E+03 3.10456E-09 1.00000E-99 1.00000E-99
1.80998E+04 1.18032E+03 2.89734E-09 1.00000E-99 1.00000E-99
1.82998E+04 1.20226E+03 2.70396E-09 1.00000E-99 1.00000E-99
1.84998E+04 1.22744E+03 2.52348E-09 1.00000E-99 1.00000E-99
1.86998E+04 1.25603E+03 2.35505E-09 1.00000E-99 1.00000E-99
1.88998E+04 1.28233E+03 2.19786E-09 1.00000E-99 1.00000E-99
1.90998E+04 1.31220E+03 2.05116E-09 1.00000E-99 1.00000E-99
1.92998E+04 1.34276E+03 1.91426E-09 1.00000E-99 1.00000E-99
1.94998E+04 1.37721E+03 1.78649E-09 1.00000E-99 1.00000E-99
1.96998E+04 1.41254E+03 1.66725E-09 1.00000E-99 1.00000E-99
1.98998E+04 1.45211E+03 1.55597E-09 1.00000E-99 1.00000E-99
2.00998E+04 1.49624E+03 1.45211E-09 1.00000E-99 1.00000E-99
2.02998E+04 1.54170E+03 1.35519E-09 1.00000E-99 1.00000E-99
2.04998E+04 1.58855E+03 1.26474E-09 1.00000E-99 1.00000E-99
2.06998E+04 1.64059E+03 1.17761E-09 1.00000E-99 1.00000E-99
2.08998E+04 1.69434E+03 1.09901E-09 1.00000E-99 1.00000E-99
2.10998E+04 1.75388E+03 1.02565E-09 1.00000E-99 1.00000E-99
2.12998E+04 1.80717E+03 9.57194E-10 1.00000E-99 1.00000E-99
2.14998E+04 1.86638E+03 8.93305E-10 1.00000E-99 1.00000E-99
2.16998E+04 1.92309E+03 8.33681E-10 1.00000E-99 1.00000E-99
2.18998E+04 1.97697E+03 7.78037E-10 1.00000E-99 1.00000E-99
2.20998E+04 2.03236E+03 7.26106E-10 1.00000E-99 1.00000E-99
2.22998E+04 2.08449E+03 6.77642E-10 1.00000E-99 1.00000E-99
2.24998E+04 2.13796E+03 6.32412E-10 1.00000E-99 1.00000E-99
2.26998E+04 2.18273E+03 5.90201E-10 1.00000E-99 1.00000E-99
2.28998E+04 2.22844E+03 5.50808E-10 1.00000E-99 1.00000E-99
2.30998E+04 2.27510E+03 5.14044E-10 1.00000E-99 1.00000E-99
2.32998E+04 2.31206E+03 4.79733E-10 1.00000E-99 1.00000E-99
2.34998E+04 2.34963E+03 4.47713E-10 1.00000E-99 1.00000E-99
2.36998E+04 2.38232E+03 4.17830E-10 1.00000E-99 1.00000E-99
2.38998E+04 2.40991E+03 3.89942E-10 1.00000E-99 1.00000E-99
2.40998E+04 2.43781E+03 3.63915E-10 1.00000E-99 1.00000E-99
2.42998E+04 2.45471E+03 3.39625E-10 1.00000E-99 1.00000E-99
2.44998E+04 2.47172E+03 3.16957E-10 1.00000E-99 1.00000E-99
2.46998E+04 2.48313E+03 2.95801E-10 1.00000E-99 1.00000E-99
2.48998E+04 2.49459E+03 2.76058E-10 1.00000E-99 1.00000E-99
