#NTIMES: 108
#TIMES[d]: 2.037028e+00 2.112455e+00 2.190675e+00 2.271792e+00 2.355913e+00 2.443148e+00 2.533613e+00 2.627428e+00 2.724717e+00 2.825608e+00 2.930235e+00 3.038736e+00 3.151255e+00 3.267940e+00 3.388946e+00 3.514432e+00 3.644565e+00 3.779516e+00 3.919465e+00 4.064595e+00 4.215100e+00 4.371177e+00 4.533034e+00 4.700883e+00 4.874948e+00 5.055458e+00 5.242653e+00 5.436778e+00 5.638092e+00 5.846861e+00 6.063359e+00 6.287873e+00 6.520702e+00 6.762152e+00 7.012541e+00 7.272203e+00 7.541479e+00 7.820726e+00 8.110313e+00 8.410623e+00 8.722052e+00 9.045013e+00 9.379933e+00 9.727255e+00 1.008744e+01 1.046096e+01 1.084831e+01 1.125000e+01 1.166656e+01 1.209856e+01 1.254655e+01 1.301112e+01 1.349289e+01 1.399251e+01 1.451063e+01 1.504793e+01 1.560513e+01 1.618296e+01 1.678218e+01 1.740360e+01 1.804802e+01 1.871630e+01 1.940933e+01 2.012802e+01 2.087333e+01 2.164623e+01 2.244774e+01 2.327894e+01 2.414092e+01 2.503481e+01 2.596181e+01 2.692312e+01 2.792004e+01 2.895387e+01 3.002597e+01 3.113778e+01 3.229075e+01 3.348642e+01 3.472636e+01 3.601222e+01 3.734568e+01 3.872852e+01 4.016256e+01 4.164970e+01 4.319192e+01 4.479123e+01 4.644977e+01 4.816972e+01 4.995336e+01 5.180304e+01 5.372120e+01 5.571040e+01 5.777325e+01 5.991249e+01 6.213094e+01 6.443153e+01 6.681731e+01 6.929144e+01 7.185717e+01 7.451791e+01 7.727716e+01 8.013859e+01 8.310597e+01 8.618323e+01 8.937444e+01 9.268381e+01 9.611572e+01 9.967470e+01 
#
#TIME: 2.037028e+00 
#NVEL: 162
#vel_mid[km/s] temp[K] rho[gcc] ne[/cm^3] natom[/cm^3]
1.249994e+02 1.024953e+05 5.610101e-10 4.759363e+13 6.042336e+12 
3.749991e+02 1.006394e+05 5.210507e-10 4.400494e+13 5.608378e+12 
6.249988e+02 9.840120e+04 4.796621e-10 4.025682e+13 5.161930e+12 
8.749978e+02 9.641101e+04 4.406777e-10 3.676857e+13 4.739556e+12 
1.125000e+03 9.457681e+04 4.045805e-10 3.345338e+13 4.348633e+12 
1.375003e+03 9.264697e+04 3.713219e-10 3.044533e+13 3.996911e+12 
1.625005e+03 9.057743e+04 3.407313e-10 2.762121e+13 3.662486e+12 
1.875006e+03 8.893224e+04 3.126329e-10 2.505535e+13 3.364294e+12 
2.125006e+03 8.707415e+04 2.868317e-10 2.269388e+13 3.086532e+12 
2.375008e+03 8.514037e+04 2.631422e-10 2.060358e+13 2.835863e+12 
2.625010e+03 8.339427e+04 2.414119e-10 1.870324e+13 2.598128e+12 
2.875008e+03 8.173310e+04 2.214606e-10 1.701740e+13 2.379323e+12 
3.125008e+03 8.010590e+04 2.031554e-10 1.546425e+13 2.187892e+12 
3.375011e+03 7.836002e+04 1.863658e-10 1.407620e+13 2.005810e+12 
3.625012e+03 7.676420e+04 1.709579e-10 1.282348e+13 1.837095e+12 
3.875015e+03 7.517588e+04 1.568176e-10 1.168536e+13 1.682858e+12 
4.125020e+03 7.359171e+04 1.438518e-10 1.063786e+13 1.548704e+12 
4.375025e+03 7.213819e+04 1.319544e-10 9.675663e+12 1.420836e+12 
4.625029e+03 7.067229e+04 1.210418e-10 8.786903e+12 1.301615e+12 
4.875029e+03 6.920151e+04 1.110378e-10 7.957095e+12 1.194651e+12 
5.125029e+03 6.769968e+04 1.018477e-10 7.199108e+12 1.094971e+12 
5.375030e+03 6.629806e+04 9.342809e-11 6.504472e+12 1.004655e+12 
5.625029e+03 6.488297e+04 8.570041e-11 5.876033e+12 9.225081e+11 
