#NTIMES: 4
#NWAVE: 10000
#TIMES[d]: 5.0 10.0 15.0 20.0
#wavelength[Ang] flux_t0[erg/s/Ang] flux_t1[erg/s/Ang] ... flux_tn[erg/s/Ang]
2.000000E+04 8.178660E+36 2.324064E+37 2.461658E+37 1.654203E+37
1.992230E+04 8.294706E+36 2.356070E+37 2.501009E+37 1.690049E+37
1.984521E+04 8.412226E+36 2.388797E+37 2.539894E+37 1.769649E+37
1.976871E+04 8.531276E+36 2.422339E+37 2.577171E+37 1.814512E+37
1.969279E+04 8.653222E+36 2.457215E+37 2.619542E+37 1.855721E+37
1.961746E+04 8.776288E+36 2.492932E+37 2.656044E+37 1.901400E+37
1.954270E+04 8.905015E+36 2.528494E+37 2.686339E+37 1.939137E+37
1.946851E+04 9.036843E+36 2.564047E+37 2.727076E+37 1.970973E+37
1.939488E+04 9.169489E+36 2.600060E+37 2.772067E+37 1.989104E+37
1.932180E+04 9.302312E+36 2.636612E+37 2.811388E+37 2.030453E+37
1.924928E+04 9.435552E+36 2.672583E+37 2.858331E+37 2.082190E+37
1.917729E+04 9.565930E+36 2.708933E+37 2.906248E+37 2.103559E+37
1.910585E+04 9.696728E+36 2.745635E+37 2.954054E+37 2.155643E+37
1.903493E+04 9.827604E+36 2.782971E+37 3.002064E+37 2.165380E+37
1.896454E+04 9.961246E+36 2.821269E+37 3.043698E+37 2.185522E+37
1.889466E+04 1.009555E+37 2.858467E+37 3.080688E+37 2.204280E+37
1.882530E+04 1.022929E+37 2.896098E+37 3.121360E+37 2.238955E+37
1.875645E+04 1.036357E+37 2.934354E+37 3.151162E+37 2.280684E+37
1.868810E+04 1.049984E+37 2.972289E+37 3.187645E+37 2.354318E+37
1.862024E+04 1.063256E+37 3.010577E+37 3.226436E+37 2.387218E+37
1.855288E+04 1.076557E+37 3.049026E+37 3.258625E+37 2.407698E+37
1.848600E+04 1.089878E+37 3.087474E+37 3.290730E+37 2.438638E+37
1.841960E+04 1.103267E+37 3.126441E+37 3.326301E+37 2.453509E+37
1.835368E+04 1.116642E+37 3.165420E+37 3.357586E+37 2.477317E+37
1.828822E+04 1.130155E+37 3.204033E+37 3.384569E+37 2.461118E+37
1.822323E+04 1.143520E+37 3.242497E+37 3.408487E+37 2.491485E+37
1.815871E+04 1.156909E+37 3.281967E+37 3.441822E+37 2.531786E+37
