#NTIMES 4
#NVEL 20
#TIMES[d] 100 200 300 400
#Vel_mid[km/s], Tgas_t1 [erg/s/cm3] Tgas_t2 ...
2.500000e+02 6.900000e+03 5.720000e+03 4.990000e+03 4.290000e+03
7.500000e+02 6.980000e+03 5.820000e+03 5.100000e+03 4.400000e+03
1.250000e+03 7.060000e+03 5.920000e+03 5.230000e+03 4.520000e+03
1.750000e+03 7.140000e+03 6.040000e+03 5.370000e+03 4.660000e+03
2.250000e+03 7.200000e+03 6.150000e+03 5.520000e+03 4.800000e+03
2.750000e+03 7.250000e+03 6.270000e+03 5.680000e+03 4.960000e+03
3.250000e+03 7.310000e+03 6.400000e+03 5.850000e+03 5.130000e+03
3.750000e+03 7.360000e+03 6.550000e+03 6.030000e+03 5.320000e+03
4.250000e+03 7.420000e+03 6.710000e+03 6.230000e+03 5.520000e+03
4.750000e+03 7.480000e+03 6.880000e+03 6.440000e+03 5.740000e+03
5.250000e+03 7.540000e+03 7.060000e+03 6.670000e+03 5.970000e+03
5.750000e+03 7.610000e+03 7.270000e+03 6.920000e+03 6.230000e+03
6.250000e+03 7.700000e+03 7.490000e+03 7.190000e+03 6.500000e+03
6.750000e+03 7.780000e+03 7.730000e+03 7.480000e+03 6.790000e+03
7.250000e+03 7.840000e+03 7.920000e+03 7.700000e+03 6.980000e+03
7.750000e+03 7.890000e+03 8.050000e+03 7.820000e+03 7.070000e+03
8.250000e+03 7.970000e+03 8.150000e+03 7.870000e+03 7.060000e+03
8.750000e+03 8.150000e+03 8.270000e+03 7.890000e+03 6.990000e+03
9.250000e+03 8.460000e+03 8.400000e+03 7.820000e+03 6.790000e+03
9.750000e+03 8.880000e+03 8.450000e+03 7.540000e+03 6.380000e+03
