#Magnitudes for spectra_toy06_artis calculated by wsynphot
#with vega calibration file: https://archive.stsci.edu/hlsps/reference-atlases/cdbs/calspec/alpha_lyr_stis_003.fits 
#and with scipy 1D interpolation kind='cubic'.
#U,B,V,R,I are Generic Bessell filters and J, H, K are 2MASS filters, taken from http://svo2.cab.inta-csic.es/theory/fps/index.php 
#The spectra file used was last modified at: 2021-12-09 12:54:38 UTC
#and had md5 hash: 343420c0ffcd29aec2ac4cdc4048fa35
#
#NTIMES: 145
#NBANDS: 8
#time[d] U B V R I J H K
4.140000e+00 -16.734218 -16.589676 -16.651781 -17.033601 -17.092793 -17.090019 -17.044621 -16.993902
4.220000e+00 -16.702831 -16.625175 -16.702064 -17.061390 -17.153937 -17.173870 -16.968540 -16.937807
4.310000e+00 -16.797108 -16.688762 -16.696530 -17.084168 -17.176784 -17.166445 -17.024982 -16.927205
4.400000e+00 -16.784609 -16.692377 -16.764890 -17.137070 -17.163601 -17.190695 -17.122388 -16.961826
4.490000e+00 -16.839197 -16.710114 -16.794651 -17.128228 -17.181502 -17.172605 -17.035587 -16.764944
4.580000e+00 -16.834088 -16.750265 -16.815570 -17.151719 -17.233638 -17.216421 -17.098996 -16.949594
4.680000e+00 -16.854286 -16.776037 -16.875122 -17.217681 -17.250906 -17.227026 -17.122259 -17.092732
4.770000e+00 -16.868423 -16.797741 -16.866675 -17.226530 -17.289662 -17.244164 -17.164168 -16.984176
4.870000e+00 -16.885846 -16.806317 -16.905892 -17.278629 -17.298783 -17.334588 -17.199165 -17.068990
4.970000e+00 -16.918560 -16.865791 -16.942746 -17.307035 -17.384954 -17.343072 -17.154513 -17.033820
5.080000e+00 -16.959340 -16.905919 -16.971265 -17.338296 -17.380807 -17.408261 -17.198139 -17.240754
5.180000e+00 -16.974826 -16.922518 -17.022182 -17.367832 -17.352915 -17.419256 -17.279196 -17.147544
5.290000e+00 -17.077401 -16.972330 -17.030899 -17.382950 -17.485106 -17.393722 -17.261182 -17.160549
5.400000e+00 -17.102765 -16.993416 -17.047248 -17.457259 -17.519531 -17.453727 -17.448390 -17.343293
5.510000e+00 -17.163779 -17.034383 -17.116529 -17.494593 -17.565868 -17.481949 -17.354878 -17.225864
5.620000e+00 -17.252961 -17.068965 -17.131637 -17.525243 -17.590364 -17.505433 -17.472975 -17.509236
5.740000e+00 -17.331367 -17.108222 -17.203087 -17.590178 -17.703121 -17.621241 -17.461504 -17.437276
5.860000e+00 -17.366122 -17.174696 -17.221224 -17.595413 -17.733183 -17.679674 -17.545660 -17.552756
5.980000e+00 -17.410273 -17.176906 -17.255983 -17.630288 -17.763618 -17.657523 -17.585589 -17.554571
6.100000e+00 -17.439752 -17.249811 -17.303739 -17.694167 -17.769169 -17.662250 -17.595235 -17.401804
6.230000e+00 -17.524406 -17.296587 -17.362775 -17.724498 -17.771137 -17.718892 -17.580596 -17.427892
6.360000e+00 -17.554943 -17.309275 -17.369321 -17.774614 -17.858803 -17.802921 -17.616765 -17.503320
6.490000e+00 -17.623577 -17.348709 -17.402755 -17.800275 -17.885794 -17.828382 -17.743611 -17.528171
6.620000e+00 -17.618094 -17.416795 -17.460877 -17.854808 -17.919185 -17.882843 -17.748732 -17.482337
6.760000e+00 -17.700723 -17.441762 -17.513141 -17.893601 -17.970058 -17.835571 -17.774732 -17.610888
6.900000e+00 -17.713339 -17.490666 -17.549042 -17.937881 -18.039822 -17.918437 -17.805274 -17.714437
7.040000e+00 -17.753347 -17.526290 -17.579370 -17.978123 -18.116603 -17.924297 -17.820076 -17.853728
7.190000e+00 -17.807495 -17.566201 -17.650726 -18.016826 -18.111790 -17.951788 -17.824675 -17.760518
7.340000e+00 -17.871395 -17.606974 -17.670945 -18.057616 -18.191419 -18.010273 -17.897987 -17.812560
7.490000e+00 -17.887993 -17.661394 -17.716339 -18.116270 -18.220465 -18.062189 -17.899452 -17.831951
7.650000e+00 -17.954507 -17.698158 -17.740861 -18.147114 -18.239402 -18.048673 -17.972679 -17.916004
7.800000e+00 -18.025406 -17.751031 -17.808861 -18.190810 -18.297914 -18.065670 -17.956598 -17.941980
7.960000e+00 -18.073617 -17.781057 -17.844208 -18.252513 -18.301706 -18.110291 -18.046596 -17.953219
8.130000e+00 -18.152549 -17.816731 -17.884818 -18.284039 -18.338788 -18.164215 -18.079557 -18.045388
8.300000e+00 -18.185175 -17.886007 -17.917745 -18.309654 -18.350534 -18.146544 -18.103412 -18.037166
8.470000e+00 -18.177373 -17.899215 -17.972613 -18.361534 -18.400946 -18.135569 -18.144544 -18.007870
8.640000e+00 -18.194999 -17.970282 -18.029493 -18.389956 -18.430798 -18.203325 -18.150756 -18.067912
8.820000e+00 -18.245328 -18.005644 -18.055595 -18.433815 -18.474762 -18.223191 -18.160822 -18.057169
9.010000e+00 -18.294177 -18.050389 -18.084868 -18.455409 -18.514065 -18.281345 -18.140133 -18.131312
9.190000e+00 -18.362885 -18.088822 -18.141108 -18.503608 -18.537178 -18.255648 -18.218991 -18.101007
9.380000e+00 -18.387004 -18.130088 -18.175375 -18.519993 -18.564988 -18.312431 -18.226696 -18.174777
9.580000e+00 -18.401921 -18.168009 -18.227523 -18.574491 -18.612779 -18.348759 -18.192380 -18.170069
9.770000e+00 -18.429015 -18.201551 -18.250225 -18.604574 -18.644468 -18.347599 -18.233450 -18.218398
9.980000e+00 -18.462151 -18.246717 -18.297748 -18.646759 -18.671159 -18.349946 -18.256212 -18.259660
1.018000e+01 -18.466981 -18.286390 -18.356592 -18.679991 -18.710057 -18.392890 -18.244595 -18.290550
1.039000e+01 -18.507953 -18.328843 -18.393233 -18.717445 -18.734189 -18.389945 -18.252079 -18.246527
1.061000e+01 -18.535582 -18.343276 -18.428680 -18.744193 -18.784405 -18.401466 -18.266615 -18.270295
1.083000e+01 -18.563317 -18.407935 -18.458738 -18.779524 -18.809437 -18.415568 -18.295930 -18.354975
1.105000e+01 -18.569410 -18.434943 -18.491866 -18.809722 -18.838556 -18.450807 -18.252704 -18.388868
1.128000e+01 -18.579176 -18.470120 -18.531997 -18.840371 -18.851479 -18.406090 -18.232166 -18.354078
1.151000e+01 -18.590113 -18.510422 -18.590412 -18.874137 -18.874062 -18.465847 -18.242727 -18.375740
1.175000e+01 -18.574002 -18.537769 -18.612103 -18.903301 -18.901474 -18.418057 -18.314907 -18.294451
1.199000e+01 -18.629361 -18.580302 -18.650070 -18.924167 -18.925904 -18.439644 -18.254784 -18.323147
1.224000e+01 -18.656968 -18.608600 -18.685450 -18.959403 -18.970888 -18.446293 -18.280950 -18.292274
1.250000e+01 -18.689836 -18.650760 -18.718565 -18.977120 -18.981590 -18.422696 -18.252326 -18.282721
1.275000e+01 -18.697887 -18.689649 -18.760719 -18.997254 -18.975922 -18.426658 -18.250764 -18.276198
1.302000e+01 -18.725683 -18.716611 -18.791978 -19.023616 -19.009690 -18.398306 -18.196035 -18.221930
1.329000e+01 -18.755092 -18.754613 -18.824326 -19.042787 -19.043038 -18.376315 -18.211554 -18.258381
1.356000e+01 -18.755559 -18.788702 -18.858291 -19.081202 -19.055317 -18.314694 -18.202306 -18.189425
1.384000e+01 -18.769396 -18.825357 -18.898621 -19.094772 -19.067489 -18.365588 -18.155823 -18.252670
