time U B V R I J H K
1.991700e+02 -13.453685 -14.127989 -14.106717 -13.199205 -12.313211 -11.223096 -12.313144 -14.136128
2.020300e+02 -13.384560 -14.088939 -14.063918 -13.150124 -12.263839 -11.183944 -12.321038 -14.076259
2.049300e+02 -13.328227 -14.047101 -14.013033 -13.083667 -12.223960 -11.201842 -12.271586 -14.070042
2.078800e+02 -13.265582 -14.006014 -13.975231 -13.019495 -12.206120 -11.178293 -12.230348 -14.063800
2.108700e+02 -13.207776 -13.966129 -13.928450 -12.961822 -12.155436 -11.159917 -12.239572 -14.000281
2.139000e+02 -13.144926 -13.926412 -13.887422 -12.900622 -12.106518 -11.162194 -12.225878 -13.997960
2.169700e+02 -13.088658 -13.879837 -13.840781 -12.833178 -12.096425 -11.170519 -12.168071 -13.956567
2.200900e+02 -13.009209 -13.833784 -13.791590 -12.770820 -12.054534 -11.162664 -12.181975 -13.939780
2.232500e+02 -12.956641 -13.792036 -13.749289 -12.709945 -12.008510 -11.170926 -12.141877 -13.891673
2.264600e+02 -12.890665 -13.751876 -13.708590 -12.647910 -11.964004 -11.157636 -12.122300 -13.851328
2.297200e+02 -12.816827 -13.706041 -13.661913 -12.586856 -11.940171 -11.161142 -12.099349 -13.855340
2.330200e+02 -12.752566 -13.661572 -13.617344 -12.516036 -11.892538 -11.157445 -12.134099 -13.834621
2.363700e+02 -12.681136 -13.619433 -13.569575 -12.466387 -11.874104 -11.147716 -12.099396 -13.806139
2.397700e+02 -12.615205 -13.573673 -13.526123 -12.388993 -11.842825 -11.180414 -12.063322 -13.783922
2.432100e+02 -12.548267 -13.527494 -13.475244 -12.330776 -11.807283 -11.131850 -12.065255 -13.739240
2.467100e+02 -12.480664 -13.483248 -13.432704 -12.271827 -11.761990 -11.127056 -12.068087 -13.721840
2.502500e+02 -12.406643 -13.431800 -13.380864 -12.212671 -11.749783 -11.186036 -12.075637 -13.673567
2.538500e+02 -12.344784 -13.382897 -13.328444 -12.151187 -11.717257 -11.150936 -12.074388 -13.638060
2.575000e+02 -12.274630 -13.332589 -13.276616 -12.077788 -11.682508 -11.157390 -12.056247 -13.634115
2.612000e+02 -12.198700 -13.278216 -13.224224 -12.013090 -11.658852 -11.182449 -12.038729 -13.563654
2.649600e+02 -12.132061 -13.230510 -13.171623 -11.942342 -11.620826 -11.168644 -12.036380 -13.551387
2.687600e+02 -12.064362 -13.179959 -13.122292 -11.880367 -11.581585 -11.203030 -12.039587 -13.535740
