#Magnitudes for spectra_toy06_sedona calculated by wsynphot
#with vega calibration file: https://archive.stsci.edu/hlsps/reference-atlases/cdbs/calspec/alpha_lyr_stis_003.fits 
#and with scipy 1D interpolation kind='cubic'.
#U,B,V,R,I are Generic Bessell filters and J, H, K are 2MASS filters, taken from http://svo2.cab.inta-csic.es/theory/fps/index.php 
#The spectra file used was last modified at: 2022-03-04 17:08:05 UTC
#and had md5 hash: 833dd200db02271e40d40d49a2d4a12c
#
#NTIMES: 250
#NBANDS: 8
#time[d] U B V R I J H K
5.000000e-01 NaN NaN NaN NaN NaN NaN NaN NaN
1.500000e+00 -12.202184 -12.139947 -12.737607 -13.162636 -13.648738 -14.295605 -14.394070 -14.899870
2.500000e+00 -13.672162 -14.270014 -14.784709 -15.081865 -15.086362 -15.781310 -15.996051 -16.086314
3.500000e+00 -15.884197 -15.883399 -16.044786 -16.250932 -16.522664 -16.544495 -16.231371 -16.344688
4.500000e+00 -16.944969 -16.651069 -16.736857 -16.968085 -17.190568 -16.850288 -16.760245 -16.628399
5.500000e+00 -17.576008 -17.182491 -17.234141 -17.444911 -17.686997 -17.116297 -17.114289 -16.826227
6.500000e+00 -18.020295 -17.587751 -17.601954 -17.817449 -18.065587 -17.373453 -17.272197 -17.116540
7.500000e+00 -18.416478 -17.948687 -17.941576 -18.123039 -18.324655 -17.633351 -17.432560 -17.312468
8.500000e+00 -18.735558 -18.214457 -18.197426 -18.354941 -18.494973 -17.787634 -17.547776 -17.441071
9.500000e+00 -18.972383 -18.439758 -18.409293 -18.529448 -18.615688 -17.913885 -17.571822 -17.570704
1.050000e+01 -19.161657 -18.632721 -18.583966 -18.672915 -18.740752 -17.981716 -17.588449 -17.517343
1.150000e+01 -19.300193 -18.786978 -18.736841 -18.790005 -18.853355 -18.038168 -17.626918 -17.480233
1.250000e+01 -19.404790 -18.909598 -18.860906 -18.881544 -18.927126 -18.085567 -17.573670 -17.500560
1.350000e+01 -19.474524 -19.005813 -18.969875 -18.951480 -18.984990 -18.074705 -17.570740 -17.447190
1.450000e+01 -19.516620 -19.087609 -19.060704 -18.996953 -19.027987 -18.061025 -17.521196 -17.365769
1.550000e+01 -19.527170 -19.149411 -19.138068 -19.040406 -19.064618 -18.041101 -17.444774 -17.317064
1.650000e+01 -19.516198 -19.197146 -19.189764 -19.063614 -19.099658 -17.996569 -17.350112 -17.150118
1.750000e+01 -19.483522 -19.226670 -19.236492 -19.087809 -19.131231 -17.911395 -17.325727 -17.146789
1.850000e+01 -19.411434 -19.236929 -19.262004 -19.097433 -19.147452 -17.878953 -17.303476 -16.960047
1.950000e+01 -19.317656 -19.240245 -19.280424 -19.096649 -19.165559 -17.800410 -17.231707 -16.939658
2.050000e+01 -19.196783 -19.233976 -19.295193 -19.094786 -19.179746 -17.766711 -17.197355 -16.828671
2.150000e+01 -19.072260 -19.216678 -19.294627 -19.081598 -19.183769 -17.672471 -17.191230 -16.803608
2.250000e+01 -18.940236 -19.189071 -19.287465 -19.062418 -19.188961 -17.667689 -17.192865 -16.818716
2.350000e+01 -18.802387 -19.152691 -19.268263 -19.036470 -19.193121 -17.590904 -17.211298 -16.861831
2.450000e+01 -18.671299 -19.103599 -19.244086 -19.003571 -19.184582 -17.579135 -17.270709 -16.927540
2.550000e+01 -18.533048 -19.040696 -19.205952 -18.958159 -19.177759 -17.543202 -17.356280 -17.063553
2.650000e+01 -18.398731 -18.970137 -19.161936 -18.909736 -19.139687 -17.496371 -17.449030 -17.186876
2.750000e+01 -18.238385 -18.875570 -19.111205 -18.853582 -19.097460 -17.447798 -17.610893 -17.313209
2.850000e+01 -18.078401 -18.770269 -19.053179 -18.790827 -19.041764 -17.434888 -17.773117 -17.488498
2.950000e+01 -17.902485 -18.644917 -18.993590 -18.722939 -18.987802 -17.414521 -17.982794 -17.677293
3.050000e+01 -17.738437 -18.525252 -18.928989 -18.663820 -18.939028 -17.402035 -18.151162 -17.855488
3.150000e+01 -17.562230 -18.397889 -18.866888 -18.605833 -18.885261 -17.427897 -18.298309 -18.025106
