#Magnitudes for spectra_toy06_stella calculated by wsynphot
#with vega calibration file: https://archive.stsci.edu/hlsps/reference-atlases/cdbs/calspec/alpha_lyr_stis_003.fits 
#and with scipy 1D interpolation kind='cubic'.
#U,B,V,R,I are Generic Bessell filters and J, H, K are 2MASS filters, taken from http://svo2.cab.inta-csic.es/theory/fps/index.php 
#The spectra file used was last modified at: 2022-03-19 15:02:02 UTC
#and had md5 hash: 3e47435afa71e8a86b15b1defa8e94c0
#
#NTIMES: 675
#NBANDS: 8
#time[d] U B V R I J H K
3.327280e-04 -4.609975 -4.622738 -5.392063 -5.991678 -6.736199 -7.002923 -7.593272 -7.836255
1.174150e-03 -4.488065 -4.535286 -5.341673 -5.960921 -6.722530 -7.007131 -7.603972 -7.855907
2.170890e-03 -4.384990 -4.464903 -5.303512 -5.938306 -6.713874 -7.016338 -7.622169 -7.878060
3.229110e-03 -4.298325 -4.407322 -5.271193 -5.921296 -6.707731 -7.027254 -7.640369 -7.904867
4.286130e-03 -4.240135 -4.369453 -5.251914 -5.911684 -6.706520 -7.038965 -7.658572 -7.929867
5.383420e-03 -4.222889 -4.356017 -5.241880 -5.900249 -6.694019 -7.028968 -7.654977 -7.934522
6.496340e-03 -4.140294 -4.288789 -5.192578 -5.860317 -6.666601 -7.026607 -7.668179 -7.958833
6.496700e-03 -4.140294 -4.288789 -5.192578 -5.860317 -6.666601 -7.026607 -7.668179 -7.958833
7.996580e-03 -4.082533 -4.249046 -5.169170 -5.848314 -6.664188 -7.043325 -7.694594 -7.993490
8.982460e-03 -4.054072 -4.229561 -5.157879 -5.842915 -6.664282 -7.055040 -7.712094 -8.015647
9.968340e-03 -4.025929 -4.210890 -5.149094 -5.840479 -6.668080 -7.069258 -7.730302 -8.037805
1.172030e-02 -3.982167 -4.182990 -5.136692 -5.836025 -6.673181 -7.090979 -7.761725 -8.077464
1.317990e-02 -3.947495 -4.159424 -5.125966 -5.834604 -6.678288 -7.110198 -7.786722 -8.107464
1.549210e-02 -3.898642 -4.128158 -5.112622 -5.833228 -6.688401 -7.138646 -7.825648 -8.154623
1.718280e-02 -3.863869 -4.106604 -5.103736 -5.832306 -6.694711 -7.160370 -7.853863 -8.188944
1.881140e-02 -3.822870 -4.079309 -5.089692 -5.826469 -6.697332 -7.177096 -7.878858 -8.218944
2.098290e-02 -3.763972 -4.038231 -5.068726 -5.817194 -6.698776 -7.198050 -7.909574 -8.256105
2.403320e-02 -3.673365 -3.977380 -5.036559 -5.803035 -6.700232 -7.226510 -7.949230 -8.305767
