#Magnitudes for spectra_toy06_stella_fr600 calculated by wsynphot
#with vega calibration file: https://archive.stsci.edu/hlsps/reference-atlases/cdbs/calspec/alpha_lyr_stis_003.fits 
#and with scipy 1D interpolation kind='cubic'.
#U,B,V,R,I are Generic Bessell filters and J, H, K are 2MASS filters, taken from http://svo2.cab.inta-csic.es/theory/fps/index.php 
#The spectra file used was last modified at: 2022-03-19 15:02:02 UTC
#and had md5 hash: 0ccb4674d7e3a83a649144603ddda816
#
#NTIMES: 532
#NBANDS: 8
#time[d] U B V R I J H K
5.610080e-04 -4.534126 -4.551320 -5.439970 -6.026480 -6.628268 -7.307635 -7.680166 -7.888170
1.513090e-03 -4.411130 -4.468059 -5.392298 -5.998500 -6.617902 -7.313725 -7.693965 -7.908651
2.323180e-03 -4.323325 -4.410224 -5.359807 -5.979400 -6.610408 -7.319710 -7.706051 -7.926495
3.364550e-03 -4.246109 -4.361856 -5.334015 -5.965486 -6.607308 -7.330500 -7.724213 -7.951061
4.311060e-03 -4.195809 -4.324699 -5.309153 -5.948603 -6.597628 -7.339265 -7.746790 -7.988048
5.543710e-03 -4.141086 -4.291697 -5.292661 -5.940931 -6.599722 -7.354980 -7.770586 -8.017531
6.914840e-03 -4.087481 -4.258646 -5.276303 -5.934506 -6.602374 -7.372073 -7.795736 -8.049884
7.989480e-03 -4.050686 -4.235407 -5.265154 -5.930209 -6.604909 -7.386040 -7.814854 -8.073406
9.387880e-03 -4.009203 -4.210304 -5.252928 -5.926753 -6.610149 -7.403619 -7.840803 -8.104759
1.059820e-02 -3.975271 -4.189097 -5.242916 -5.923508 -6.614090 -7.418336 -7.862109 -8.130758
1.175970e-02 -3.943570 -4.169453 -5.233492 -5.920879 -6.617918 -7.432681 -7.880843 -8.155110
1.292110e-02 -3.912775 -4.150494 -5.224293 -5.917878 -6.621636 -7.446648 -7.900536 -8.177791
1.459990e-02 -3.873959 -4.126466 -5.213753 -5.915908 -6.628141 -7.466353 -7.927126 -8.210978
1.644790e-02 -3.831765 -4.100385 -5.201421 -5.913125 -6.634820 -7.487044 -7.955661 -8.244541
1.889090e-02 -3.761028 -4.054152 -5.176139 -5.901069 -6.636740 -7.509070 -7.988800 -8.285187
2.125400e-02 -3.686511 -4.004257 -5.147772 -5.886806 -6.635367 -7.528160 -8.017553 -8.322550
2.486220e-02 -3.569149 -3.927455 -5.104143 -5.864224 -6.633251 -7.554786 -8.059046 -8.374879
2.832800e-02 -3.450252 -3.847100 -5.055830 -5.836436 -6.625062 -7.574666 -8.093533 -8.419757
3.065300e-02 -3.358798 -3.784824 -5.016731 -5.812230 -6.614584 -7.585313 -8.114000 -8.447470
3.310510e-02 -3.249874 -3.709379 -4.969592 -5.781940 -6.600660 -7.593909 -8.133602 -8.475286
3.571660e-02 -3.118053 -3.617197 -4.910135 -5.743883 -6.581969 -7.600741 -8.152608 -8.502356
3.855090e-02 -2.954483 -3.501577 -4.834391 -5.693462 -6.554827 -7.604798 -8.170263 -8.528774
4.169070e-02 -2.749106 -3.352031 -4.734321 -5.625925 -6.516496 -7.604432 -8.185066 -8.552906
4.505520e-02 -2.502635 -3.170542 -4.608400 -5.537439 -6.462917 -7.595322 -8.192477 -8.568929
4.839560e-02 -2.239614 -2.972798 -4.467196 -5.434801 -6.395056 -7.572817 -8.184785 -8.568788
4.921200e-02 -2.174394 -2.922517 -4.429978 -5.406960 -6.375759 -7.564769 -8.180020 -8.564864
5.084470e-02 -2.043679 -2.820876 -4.353735 -5.348951 -6.333876 -7.544288 -8.166086 -8.554480
5.132580e-02 -1.971069 -2.762323 -4.308847 -5.316149 -6.311236 -7.542456 -8.165269 -8.557094
5.228800e-02 -1.894798 -2.701464 -4.261814 -5.279532 -6.283468 -7.526915 -8.153348 -8.547388
5.415330e-02 -1.746866 -2.583793 -4.169947 -5.206236 -6.226345 -7.492983 -8.128213 -8.526598
5.477070e-02 -1.699233 -2.544932 -4.139141 -5.180943 -6.206053 -7.481079 -8.118244 -8.519148
5.600540e-02 -1.601558 -2.466635 -4.076495 -5.129212 -6.164394 -7.455125 -8.099579 -8.503808
5.653930e-02 -1.558515 -2.432331 -4.048986 -5.106328 -6.145671 -7.443359 -8.090642 -8.497684
5.760700e-02 -1.473286 -2.362911 -3.992617 -5.059583 -6.107491 -7.418513 -8.072264 -8.484660
5.974250e-02 -1.297176 -2.220823 -3.877239 -4.963118 -6.027786 -7.367773 -8.036547 -8.459216
6.042610e-02 -1.240862 -2.174828 -3.839529 -4.932224 -6.001861 -7.350874 -8.024485 -8.452031
6.179310e-02 -1.127354 -2.084377 -3.766879 -4.871000 -5.951586 -7.319273 -8.002805 -8.437056
6.447360e-02 -0.910678 -1.911177 -3.626907 -4.755356 -5.857946 -7.260870 -7.963422 -8.411864
6.828230e-02 -0.609504 -1.674564 -3.439791 -4.603481 -5.735718 -7.187592 -7.913963 -8.379306
7.243710e-02 -0.288902 -1.426775 -3.247274 -4.448892 -5.614033 -7.115165 -7.865220 -8.346186
7.682630e-02 0.043329 -1.172448 -3.052286 -4.295063 -5.493299 -7.045072 -7.815356 -8.309467
8.128820e-02 0.374729 -0.920710 -2.861657 -4.147197 -5.379587 -6.979739 -7.766632 -8.271448
8.558850e-02 0.694921 -0.677058 -2.677577 -4.005326 -5.271065 -6.916811 -7.715485 -8.225865
8.962910e-02 1.007352 -0.436984 -2.494695 -3.863922 -5.161237 -6.850554 -7.655968 -8.170097
9.055800e-02 1.079318 -0.380262 -2.451064 -3.829437 -5.134442 -6.833538 -7.640683 -8.154796
9.241600e-02 1.226323 -0.263026 -2.359278 -3.757909 -5.078106 -6.797508 -7.607667 -8.122297
9.318590e-02 1.289420 -0.212988 -2.319710 -3.726694 -5.053194 -6.782172 -7.593223 -8.108783
9.472560e-02 1.418030 -0.108879 -2.237447 -3.661686 -5.002094 -6.748747 -7.562940 -8.079064
9.549550e-02 1.484647 -0.055468 -2.194777 -3.627785 -4.974602 -6.731754 -7.547666 -8.064063
9.703520e-02 1.620834 0.056028 -2.106140 -3.557213 -4.918650 -6.695771 -7.515371 -8.033831
9.969500e-02 1.867832 0.258524 -1.942712 -3.426289 -4.814116 -6.628736 -7.455117 -7.977332
1.049290e-01 2.422981 0.713392 -1.572827 -3.128540 -4.573264 -6.473906 -7.321410 -7.855014
1.062790e-01 2.580259 0.842750 -1.466465 -3.042001 -4.502631 -6.428637 -7.282728 -7.821001
1.069550e-01 2.660737 0.909598 -1.411459 -2.996711 -4.465533 -6.404189 -7.262528 -7.803186
1.083050e-01 2.828950 1.047943 -1.297177 -2.903013 -4.387880 -6.354717 -7.221581 -7.767000
1.110050e-01 3.193651 1.347304 -1.049057 -2.699298 -4.219725 -6.245959 -7.132042 -7.690826
1.122830e-01 3.380131 1.499606 -0.922932 -2.595699 -4.133983 -6.189893 -7.086985 -7.653993
1.148400e-01 3.780885 1.825374 -0.652706 -2.371933 -3.946973 -6.068296 -6.990122 -7.574455
1.202980e-01 4.843180 2.656416 0.025915 -1.815962 -3.481922 -5.766996 -6.757081 -7.389679
1.220610e-01 5.231286 2.956671 0.271540 -1.614533 -3.312504 -5.657595 -6.673892 -7.325555
1.255890e-01 6.117501 3.616527 0.805252 -1.179522 -2.946910 -5.423556 -6.498912 -7.192004
1.268900e-01 6.462523 3.870543 1.011236 -1.011669 -2.805543 -5.333637 -6.431905 -7.141926
1.275410e-01 6.632908 3.996552 1.114487 -0.927534 -2.734600 -5.287631 -6.398048 -7.116503
1.288420e-01 6.981993 4.252260 1.322868 -0.756857 -2.589919 -5.195318 -6.330165 -7.065673
1.314440e-01 7.758767 4.788000 1.754188 -0.407591 -2.294983 -5.008172 -6.192126 -6.962168
