time U B V R I J H K
2.037028e+00 -11.417727 -10.373751 -9.828501 -11.027714 -11.541102 -12.381524 -14.068574 -13.089201
2.112455e+00 -10.906194 -11.583345 -11.581288 -12.301224 -12.795832 -13.969939 -13.340662 -14.353856
2.190675e+00 -12.424959 -12.541806 -12.487225 -13.385751 -13.489599 -14.537896 -13.668610 -14.672023
2.271792e+00 -12.852489 -13.261201 -13.303351 -13.871235 -13.787438 -14.563387 -15.161508 -14.597969
2.355913e+00 -13.803120 -14.005683 -14.268121 -14.459113 -14.232531 -15.407151 -15.366303 -15.261629
2.443148e+00 -14.126839 -14.365404 -14.600004 -14.914944 -14.453534 -15.462182 -15.306744 -15.248888
2.533613e+00 -14.651780 -14.786278 -14.944593 -15.071245 -14.612678 -15.518096 -15.483174 -15.809450
2.627428e+00 -14.946544 -14.978648 -15.092530 -15.227693 -14.734632 -15.567726 -15.472800 -15.790404
2.724717e+00 -15.265592 -15.078664 -15.332163 -15.435211 -14.878262 -15.710681 -15.911057 -15.484951
2.825608e+00 -15.392228 -15.250855 -15.343435 -15.498955 -15.132044 -15.807500 -15.905417 -16.195146
2.930235e+00 -15.598724 -15.462134 -15.584834 -15.795318 -15.388114 -15.992031 -15.846049 -15.722026
3.038736e+00 -15.828032 -15.603585 -15.715957 -15.886484 -15.507189 -15.938669 -15.727275 -15.962927
3.151255e+00 -15.935207 -15.784899 -15.885002 -15.991104 -15.619544 -15.987666 -15.937541 -16.109314
3.267940e+00 -16.152458 -15.898701 -15.987108 -16.176013 -15.711210 -16.201419 -16.028132 -16.234503
3.388946e+00 -16.279096 -16.024426 -16.091227 -16.294425 -15.916923 -16.176424 -16.223331 -16.142778
3.514432e+00 -16.393051 -16.109622 -16.224602 -16.384500 -16.000640 -16.197889 -16.298863 -16.370001
3.644565e+00 -16.575381 -16.238212 -16.327010 -16.508677 -16.064559 -16.187439 -16.472550 -16.378781
3.779516e+00 -16.666181 -16.366973 -16.462622 -16.628325 -16.235641 -16.383951 -16.549263 -16.504722
3.919465e+00 -16.820100 -16.453252 -16.526329 -16.720244 -16.354072 -16.415220 -16.506847 -16.563944
4.064595e+00 -16.955793 -16.568804 -16.633289 -16.839759 -16.510885 -16.564588 -16.648878 -16.556354
4.215100e+00 -17.042098 -16.681346 -16.737845 -16.961243 -16.576887 -16.683402 -16.744788 -16.649207
4.371177e+00 -17.164565 -16.795682 -16.850443 -17.055054 -16.630861 -16.663613 -16.721624 -16.671472
4.533034e+00 -17.295805 -16.893925 -16.935423 -17.129527 -16.727138 -16.739022 -16.818174 -16.740943
4.700883e+00 -17.404478 -16.971499 -17.033610 -17.253887 -16.863615 -16.913328 -16.938409 -16.782992
4.874948e+00 -17.526823 -17.047918 -17.113425 -17.324234 -16.942159 -16.852079 -17.009557 -16.881071
5.055458e+00 -17.617922 -17.166986 -17.208869 -17.399597 -17.058604 -16.954298 -17.040148 -16.963179
5.242653e+00 -17.735664 -17.243193 -17.290213 -17.483016 -17.139605 -16.989074 -17.085435 -17.149620
5.436778e+00 -17.815897 -17.329136 -17.371266 -17.576428 -17.182952 -17.132837 -17.025445 -17.024642
5.638092e+00 -17.924590 -17.415579 -17.460708 -17.659384 -17.278262 -17.151241 -17.188158 -17.173563
5.846861e+00 -18.017367 -17.504575 -17.546054 -17.722994 -17.362709 -17.205577 -17.277511 -17.193758
6.063359e+00 -18.117466 -17.581237 -17.606167 -17.805537 -17.408391 -17.304771 -17.320888 -17.182452
6.287873e+00 -18.208367 -17.646339 -17.680017 -17.886474 -17.516149 -17.350349 -17.360972 -17.308891
6.520702e+00 -18.304138 -17.740133 -17.748717 -17.949421 -17.596411 -17.429778 -17.465532 -17.405801
6.762152e+00 -18.384842 -17.814569 -17.839120 -18.026821 -17.648777 -17.487515 -17.453750 -17.400469
7.012541e+00 -18.475674 -17.885728 -17.894017 -18.097459 -17.742564 -17.508992 -17.510690 -17.471961
7.272203e+00 -18.562120 -17.957915 -17.956315 -18.156887 -17.802517 -17.617386 -17.608947 -17.472488
7.541479e+00 -18.643797 -18.049126 -18.052638 -18.219447 -17.866726 -17.645152 -17.636910 -17.596119
7.820726e+00 -18.712944 -18.110098 -18.107387 -18.281499 -17.927505 -17.748341 -17.583679 -17.645665
8.110313e+00 -18.805117 -18.184223 -18.184906 -18.351256 -18.023467 -17.770561 -17.724406 -17.679349
8.410623e+00 -18.882705 -18.247476 -18.242298 -18.400246 -18.075543 -17.829799 -17.738174 -17.697291
8.722052e+00 -18.946138 -18.301356 -18.303379 -18.459042 -18.129614 -17.892511 -17.744162 -17.746481
9.045013e+00 -19.014928 -18.385658 -18.362679 -18.519453 -18.211291 -17.953805 -17.757691 -17.781468
9.379933e+00 -19.086264 -18.448957 -18.426446 -18.584823 -18.271819 -18.003026 -17.794391 -17.813519
9.727255e+00 -19.146631 -18.520080 -18.492514 -18.641130 -18.326827 -18.038737 -17.828839 -17.865415
1.008744e+01 -19.201828 -18.584933 -18.547278 -18.681837 -18.351049 -18.056478 -17.845431 -17.791951
1.046096e+01 -19.258877 -18.646883 -18.609623 -18.725091 -18.400047 -18.060951 -17.797629 -17.857809
1.084831e+01 -19.302358 -18.711659 -18.661910 -18.774835 -18.441365 -18.121668 -17.875805 -17.887121
1.125000e+01 -19.359085 -18.765764 -18.712739 -18.819245 -18.482404 -18.133814 -17.883922 -17.912644
1.166656e+01 -19.399768 -18.827252 -18.775079 -18.853985 -18.506643 -18.143934 -17.849949 -17.870588
1.209856e+01 -19.439277 -18.880089 -18.821636 -18.891784 -18.550730 -18.172408 -17.864291 -17.923120
1.254655e+01 -19.469021 -18.943394 -18.881199 -18.926210 -18.553660 -18.137929 -17.873684 -17.831243
1.301112e+01 -19.500480 -18.988826 -18.939157 -18.961812 -18.565352 -18.189346 -17.876386 -17.867027
1.349289e+01 -19.526734 -19.037112 -18.983935 -18.986202 -18.584483 -18.153649 -17.856203 -17.770938
1.399251e+01 -19.539987 -19.077968 -19.033765 -19.008623 -18.589319 -18.169821 -17.789803 -17.832787
1.451063e+01 -19.551114 -19.114806 -19.072197 -19.037105 -18.581945 -18.145750 -17.790304 -17.718167
1.504793e+01 -19.555002 -19.150435 -19.111711 -19.050217 -18.587748 -18.133594 -17.775494 -17.679421
